player,team,matches,shots,xg,goals,goals_minus_xg
Nuno Mendes,Paris Saint-Germain,13,16,1.48,1.0,-0.48
Jonas Older Wind,Wolfsburg,2,6,0.49,0.0,-0.49
Prabir Das,ATK Mohun Bagan,10,13,0.5,0.0,-0.5
Boris Singh Thangjam,Jamshedpur,12,20,2.5,2.0,-0.5
Lalengmawia Ralte,Mumbai City,9,14,0.51,0.0,-0.51
Nandhakumar Sekar,Odisha,10,13,1.51,1.0,-0.51
Muhammed Cham Saracevic,Clermont Foot,2,5,0.52,0.0,-0.52
Ikoma Loïs Openda,Lens,1,8,0.52,0.0,-0.52
Thijs Dallinga,Toulouse,2,5,0.53,0.0,-0.53
Jeakson Singh Thaunaojam,Kerala Blasters,10,13,1.53,1.0,-0.53
Lalthathanga Khawlhring,Kerala Blasters,12,16,0.54,0.0,-0.54
Isaac Vanmalsawma Chhakchhuak,Odisha,7,8,0.54,0.0,-0.54
Presnel Kimpembe,Paris Saint-Germain,9,10,1.56,1.0,-0.56
Carl Gerard McHugh,ATK Mohun Bagan,8,15,0.56,0.0,-0.56
Edwin Sydney Vanspaul,Chennaiyin,9,16,0.57,0.0,-0.57
Marshall Nyasha Munetsi,Stade de Reims,2,5,0.57,0.0,-0.57
Mauro Emanuel Icardi Rivero,Paris Saint-Germain,6,15,2.58,2.0,-0.58
Moussa Dembélé,Lyon,2,5,0.59,0.0,-0.59
Franjo Prce,East Bengal,7,8,1.6,1.0,-0.6
Brandon Fernandes,Goa,6,12,0.6,0.0,-0.6
Souvik Chakrabarti,Hyderabad,10,18,0.64,0.0,-0.64
Marcelo Leite Pereira,NorthEast United,7,15,1.64,1.0,-0.64
Ángel Fabián Di María Hernández,Paris Saint-Germain,17,44,4.66,4.0,-0.66
Mohammed Rafique,East Bengal,8,11,0.67,0.0,-0.67
Liridon Krasniqi,Odisha,4,5,0.67,0.0,-0.67
Francisco José Sota Bernard,East Bengal,5,13,0.68,0.0,-0.68
Muhammed Nemil Valiyattil,Goa,8,10,0.68,0.0,-0.68
Jitendra Singh,Jamshedpur,7,11,0.69,0.0,-0.69
Hernán Daniel Santana Trujillo,NorthEast United,15,35,1.72,1.0,-0.72
Daniel Chima Chukwu,East Bengal,8,18,2.75,2.0,-0.75
Gurjinder Kumar,NorthEast United,8,12,0.75,0.0,-0.75
Juan Antonio González Fernández,Hyderabad,11,11,0.78,0.0,-0.78
Habibou Mouhamadou Diallo,Strasbourg,2,8,0.79,0.0,-0.79
Imran Khan,NorthEast United,10,13,0.79,0.0,-0.79
Nordi Mukiele Mulere,Paris Saint-Germain,5,7,0.81,0.0,-0.81
Alexander Romario Jesuraj,Goa,9,14,2.82,2.0,-0.82
Mathias Coureur,NorthEast United,6,21,1.82,1.0,-0.82
Joni Ensio Kauko,ATK Mohun Bagan,17,32,3.87,3.0,-0.87
Piero Martín Hincapié Reyna,Bayer Leverkusen,13,18,1.89,1.0,-0.89
Vitor Machado Ferreira,Paris Saint-Germain,16,25,1.91,1.0,-0.91
Devendra Dhaku Murgaokar,Goa,14,26,2.92,2.0,-0.92
Saviour Gama,Goa,9,14,1.01,0.0,-1.01
Adam Hložek,Bayer Leverkusen,9,19,3.01,2.0,-1.01
Edmond Fayçal Tapsoba,Bayer Leverkusen,10,12,1.01,0.0,-1.01
Anisa Anwar Ali,Goa,7,11,1.05,0.0,-1.05
Idrissa Gana Gueye,Paris Saint-Germain,12,17,1.07,0.0,-1.07
Bruno Edgar Silva Almeida,Bengaluru,10,19,1.12,0.0,-1.12
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,56,218,23.13,22.0,-1.13
Alexandre Lacazette,Lyon,2,5,1.14,0.0,-1.14
Chencho Gyeltshen,Kerala Blasters,6,11,1.17,0.0,-1.17
Borja Iglesias Quintas,Bayer Leverkusen,5,8,1.19,0.0,-1.19
Raynier Fernandes,Mumbai City,5,9,1.21,0.0,-1.21
Jobby Justin,Chennaiyin,3,5,1.54,0.0,-1.54
Jonas Hofmann,Bayer Leverkusen,26,62,5.71,4.0,-1.71
Cássio Gabriel Vilela Ferreira,Mumbai City,19,57,2.83,1.0,-1.83
Serhou Guirassy,VfB Stuttgart,2,9,1.87,0.0,-1.87
Marcelo Ribeiro dos Santos,East Bengal,5,18,1.89,0.0,-1.89
Victor Okoh Boniface,Bayer Leverkusen,20,81,15.97,14.0,-1.97
Łukasz Gikiewicz,Chennaiyin,9,17,3.16,1.0,-2.16
Marko Lešković,Kerala Blasters,12,18,2.17,0.0,-2.17
Lalkhawpuimawia Lalkhawpuimawia,NorthEast United,7,16,2.33,0.0,-2.33
Sunil Chhetri,Bengaluru,16,33,6.82,4.0,-2.82
