match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
3895202,RB Leipzig,27,16.35,4.45,3.45
3895202,Bayer Leverkusen,27,10.77,5.02,2.45
3895210,Borussia Mönchengladbach,21,15.1,4.2,3.68
3895210,Bayer Leverkusen,35,12.53,4.94,2.77
3895220,Darmstadt 98,31,17.99,4.43,3.81
3895220,Bayer Leverkusen,26,13.16,4.52,2.75
3895232,Bayer Leverkusen,25,17.34,4.77,4.0
3895232,Bayern Munich,29,15.78,5.45,3.0
3895244,Bayer Leverkusen,33,13.72,5.18,2.76
3895244,FC Heidenheim,28,10.61,4.06,2.71
3895250,FSV Mainz 05,34,12.13,4.05,3.34
3895250,Bayer Leverkusen,23,10.49,4.73,2.5
3895258,FC Köln,24,23.33,5.01,4.32
3895258,Bayer Leverkusen,25,16.24,5.71,2.96
3895266,Wolfsburg,17,9.49,3.47,3.38
3895266,Bayer Leverkusen,28,13.92,4.94,3.09
3895275,Freiburg,31,14.32,4.64,4.11
3895275,Bayer Leverkusen,24,12.55,4.99,2.92
3895286,Hoffenheim,19,20.99,4.7,4.11
3895286,Bayer Leverkusen,32,14.94,5.27,3.13
3895292,Union Berlin,26,14.71,4.57,3.1
3895292,Bayer Leverkusen,29,13.26,4.56,3.05
3895302,Werder Bremen,22,15.2,4.46,3.35
3895302,Bayer Leverkusen,34,17.03,5.07,3.29
3895309,Bayer Leverkusen,29,19.19,4.89,4.0
3895309,Borussia Dortmund,32,13.34,5.15,2.61
3895320,Bayer Leverkusen,26,18.61,4.95,4.08
3895320,VfB Stuttgart,23,13.93,4.73,3.12
3895333,Eintracht Frankfurt,31,15.17,4.43,3.49
3895333,Bayer Leverkusen,17,12.52,4.37,3.23
3895340,Bayer Leverkusen,33,14.07,4.95,2.89
3895340,Bochum,17,11.98,4.26,2.89
3895348,Augsburg,20,17.59,4.73,3.6
3895348,Bayer Leverkusen,30,13.64,4.92,2.84
