match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
3895250,Bayer Leverkusen,Amine Adli,27,9.0,5.0,14,18.52,78,31.15
3817860,Hyderabad,Joel Joseph Chianese,27,8.0,4.0,16,14.81,95,25.58
3895107,FC Köln,Florian Kainz,27,3.0,5.0,4,18.52,91,26.7
3895302,Werder Bremen,Romano Schmid,27,3.0,7.0,2,25.93,89,27.3
3895158,Bayer Leverkusen,Florian Wirtz,27,8.0,5.0,12,18.52,93,26.13
3802837,Saint-Étienne,Mahdi Camara,27,4.0,6.0,9,22.22,85,28.59
3827767,Hyderabad,Asish Rai,27,4.0,10.0,3,37.04,117,20.77
3813300,Kerala Blasters,Vincy Barretto,27,4.0,4.0,5,14.81,62,39.19
3813302,Jamshedpur,Boris Singh Thangjam,27,12.0,7.0,11,25.93,92,26.41
3802795,Rennes,Lovro Majer,27,6.0,8.0,6,29.63,83,29.28
3817862,Odisha,Moirangthem Thoiba Singh,27,8.0,5.0,4,18.52,93,26.13
3817851,Kerala Blasters,Lalthathanga Khawlhring,27,7.0,6.0,9,22.22,84,28.93
3813293,East Bengal,Lalrinliana Hnamte,27,6.0,8.0,5,29.63,91,26.7
3817882,East Bengal,Naorem Mahesh Singh,27,2.0,6.0,12,22.22,90,27.0
3817887,Hyderabad,Joel Joseph Chianese,27,6.0,2.0,15,7.41,87,27.93
3802904,Paris Saint-Germain,Georginio Wijnaldum,27,8.0,9.0,13,33.33,87,27.93
3895167,Bayer Leverkusen,Florian Wirtz,27,8.0,7.0,11,25.93,94,25.85
3802837,Paris Saint-Germain,Neymar da Silva Santos Junior,27,10.0,1.0,16,3.7,86,28.26
3813296,Kerala Blasters,Adrián Nicolás Luna Retamar,27,8.0,8.0,9,29.63,87,27.93
3895194,Augsburg,Ermedin Demirović,27,5.0,0.0,10,0.0,78,31.15
3817896,East Bengal,Naorem Mahesh Singh,27,3.0,10.0,8,37.04,75,32.4
3813274,Mumbai City,Ahmed Jahouh,27,8.0,8.0,3,29.63,94,25.85
3837785,Paris Saint-Germain,Marco Verratti,27,3.0,5.0,5,18.52,81,30.0
3837827,Rennes,Lovro Majer,27,8.0,8.0,4,29.63,88,27.61
3837717,Lyon,Alexandre Lacazette,27,8.0,3.0,8,11.11,92,26.41
3813316,Goa,Glan Martins,27,13.0,7.0,5,25.93,92,26.41
3895232,Bayern Munich,Jamal Musiala,27,6.0,4.0,16,14.81,80,30.38
3813297,Bengaluru,Suresh Singh Wangjam,27,10.0,7.0,9,25.93,95,25.58
3813286,Chennaiyin,Vladimir Koman Jr.,27,2.0,9.0,0,33.33,90,27.0
3895309,Bayer Leverkusen,Jeremie Frimpong,27,3.0,5.0,15,18.52,94,25.85
3895286,Hoffenheim,Wout Weghorst,26,6.0,5.0,1,19.23,77,30.39
3837918,Rennes,Désiré Doué,26,2.0,8.0,7,30.77,66,35.45
