player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
Dayotchanculle Upamecano,Bayern Munich,41,29.0,0.71,25.0,0.76
Christopher Trimmel,Union Berlin,14,10.0,0.71,5.0,1.6
Robin Gosens,Union Berlin,14,10.0,0.71,6.0,0.67
Merlin Röhl,Freiburg,7,5.0,0.71,2.0,1.5
Marco Friedl,Werder Bremen,14,10.0,0.71,5.0,1.0
Matěj Kovář,Bayer Leverkusen,10,7.0,0.7,7.0,1.0
Willi Orban,RB Leipzig,23,16.0,0.7,8.0,1.5
Andrej Kramarić,Hoffenheim,10,7.0,0.7,3.0,0.67
Nathan Tella,Bayer Leverkusen,120,83.0,0.69,34.0,1.68
Min Jae Kim,Bayern Munich,39,27.0,0.69,18.0,1.22
Tom Krauß,FSV Mainz 05,6,4.0,0.67,2.0,0.5
Tomáš Čvančara,Borussia Mönchengladbach,6,4.0,0.67,2.0,1.0
Adrian Beck,FC Heidenheim,12,8.0,0.67,6.0,1.0
Leonidas Stergiou,VfB Stuttgart,15,10.0,0.67,8.0,1.25
Ikoma Loïs Openda,RB Leipzig,15,10.0,0.67,2.0,1.0
Kevin Stöger,Bochum,15,10.0,0.67,4.0,0.5
Marco Reus,Borussia Dortmund,6,4.0,0.67,1.0,2.0
Frederik Rønnow,Union Berlin,32,21.0,0.66,23.0,0.78
Odilon Kossonou,Bayer Leverkusen,483,321.0,0.66,190.0,0.91
Timo Hübers,FC Köln,23,15.0,0.65,15.0,0.93
Christian Groß,Werder Bremen,20,13.0,0.65,11.0,1.0
Florian Grillitsch,Hoffenheim,17,11.0,0.65,6.0,1.17
Maximilian Mittelstädt,VfB Stuttgart,55,35.0,0.64,17.0,1.41
Diogo Filipe Monteiro Pinto Leite,Union Berlin,22,14.0,0.64,9.0,0.89
Mert Kömür,Augsburg,8,5.0,0.63,3.0,0.33
Jérôme Roussillon,Union Berlin,8,5.0,0.63,3.0,1.33
András Schäfer,Union Berlin,8,5.0,0.63,1.0,0.0
Marvin Schwäbe,FC Köln,34,21.0,0.62,26.0,0.73
Waldemar Anton,VfB Stuttgart,47,29.0,0.62,23.0,0.74
Sven Ulreich,Bayern Munich,13,8.0,0.62,10.0,0.7
Moritz Jenz,Wolfsburg,21,13.0,0.62,11.0,0.91
Kiliann Sildillia,Freiburg,33,20.0,0.61,13.0,0.92
Janis Blaswich,RB Leipzig,36,22.0,0.61,24.0,0.88
Benno Schmitz,FC Köln,5,3.0,0.6,1.0,1.0
Patrick Mainka,FC Heidenheim,30,18.0,0.6,20.0,0.7
Willian Joel Pacho Tenorio,Eintracht Frankfurt,42,25.0,0.6,22.0,1.05
Tim Siersleben,FC Heidenheim,15,9.0,0.6,7.0,1.0
David Jurásek,Hoffenheim,15,9.0,0.6,9.0,0.67
Marvin Pieringer,FC Heidenheim,5,3.0,0.6,3.0,0.67
Cristian Gamboa Luna,Bochum,15,9.0,0.6,4.0,1.0
Sebastiaan Bornauw,Wolfsburg,10,6.0,0.6,5.0,1.0
Jonas Föhrenbach,FC Heidenheim,32,19.0,0.59,16.0,0.88
Noah Atubolu,Freiburg,32,19.0,0.59,24.0,0.71
Iago Amaral Borduchi,Augsburg,22,13.0,0.59,7.0,0.86
Kevin Müller,FC Heidenheim,31,18.0,0.58,21.0,0.76
Marcel Sabitzer,Borussia Dortmund,12,7.0,0.58,7.0,0.71
Tim Breithaupt,Augsburg,7,4.0,0.57,3.0,1.0
Robin Koch,Eintracht Frankfurt,23,13.0,0.57,9.0,0.89
Karim Onisiwo,FSV Mainz 05,7,4.0,0.57,2.0,2.0
Piero Martín Hincapié Reyna,Bayer Leverkusen,443,246.0,0.56,165.0,0.84
Felix Agu,Werder Bremen,18,10.0,0.56,5.0,1.2
Eric Junior Dina Ebimbe,Eintracht Frankfurt,9,5.0,0.56,2.0,0.5
Tim Oermann,Bochum,9,5.0,0.56,5.0,0.6
Pavel Kadeřábek,Hoffenheim,11,6.0,0.55,4.0,0.75
Gregor Kobel,Borussia Dortmund,40,22.0,0.55,27.0,0.74
Felix Uduokhai,Augsburg,20,11.0,0.55,9.0,1.0
Maxence Lacroix,Wolfsburg,26,14.0,0.54,13.0,0.77
Manuel Gulde,Freiburg,17,9.0,0.53,11.0,0.64
Olivier Deman,Werder Bremen,17,9.0,0.53,3.0,1.33
Danilo Teodoro Soares,Bochum,6,3.0,0.5,0.0,
Eren Sami Dinkçi,FC Heidenheim,10,5.0,0.5,4.0,0.75
Matthias Ginter,Freiburg,20,10.0,0.5,12.0,0.67
Lukáš Hrádecký,Bayer Leverkusen,379,183.0,0.48,282.0,0.62
Jonas Omlin,Borussia Mönchengladbach,21,10.0,0.48,9.0,1.11
Lucas Silva Melo,Eintracht Frankfurt,40,19.0,0.48,13.0,0.92
Tim Drexler,Hoffenheim,15,7.0,0.47,8.0,0.5
Ermedin Demirović,Augsburg,11,5.0,0.45,5.0,0.6
Alexander Nübel,VfB Stuttgart,55,25.0,0.45,37.0,0.62
Lennard Maloney,FC Heidenheim,16,7.0,0.44,3.0,0.67
Florian Pick,FC Heidenheim,9,4.0,0.44,2.0,1.0
Ko Itakura,Borussia Mönchengladbach,14,6.0,0.43,4.0,1.0
Danny Vieira da Costa,FSV Mainz 05,7,3.0,0.43,2.0,1.5
Joakim Mæhle,Wolfsburg,12,5.0,0.42,1.0,0.0
Aymen Barkok,FSV Mainz 05,5,2.0,0.4,1.0,1.0
Kevin Mbabu,Augsburg,5,2.0,0.4,3.0,0.67
Nico Elvedi,Borussia Mönchengladbach,5,2.0,0.4,2.0,1.0
Rafael Santos Borré Amaury,Werder Bremen,8,3.0,0.38,1.0,1.0
Konrad Laimer,Bayern Munich,13,5.0,0.38,4.0,0.5
Brenden Aaronson,Union Berlin,8,3.0,0.38,2.0,0.5
Julián Malatini,Werder Bremen,17,6.0,0.35,4.0,0.25
Christoph Klarer,Darmstadt 98,6,2.0,0.33,2.0,1.0
Felix Passlack,Bochum,6,2.0,0.33,2.0,0.5
Alphonso Davies,Bayern Munich,22,7.0,0.32,5.0,1.2
Matej Maglica,Darmstadt 98,10,3.0,0.3,5.0,0.4
Josha Mamadou Karaboue Vagnoman,VfB Stuttgart,22,5.0,0.23,2.0,1.0
Marvin Friedrich,Borussia Mönchengladbach,23,5.0,0.22,8.0,0.38
Manuel Neuer,Bayern Munich,14,3.0,0.21,8.0,0.38
Hrvoje Smolčić,Eintracht Frankfurt,5,1.0,0.2,3.0,0.33
Maximilian Eggestein,Freiburg,5,1.0,0.2,3.0,0.33
Sacha Boey,Bayern Munich,17,3.0,0.18,4.0,0.25
Iván Garrido González,Goa,791,0.0,0.0,340.0,0.0
Achraf Hakimi Mouh,Paris Saint-Germain,2334,0.0,0.0,334.0,0.0
Juan Bernat Velasco,Paris Saint-Germain,1337,0.0,0.0,188.0,0.0
Pratik Prabhakar Chaudhari,Bengaluru,383,0.0,0.0,140.0,0.0
Gaurav Bora,Odisha,279,0.0,0.0,94.0,0.0
Mathias Autret,Auxerre,33,0.0,0.0,8.0,0.0
Liridon Krasniqi,Odisha,357,0.0,0.0,118.0,0.0
Mirlan Murzaev,Chennaiyin,207,0.0,0.0,68.0,0.0
Albino Gomes,Kerala Blasters,49,0.0,0.0,39.0,0.0
Greg Stewart,Jamshedpur,602,0.0,0.0,240.0,0.0
Sandesh Jhingan,ATK Mohun Bagan,318,0.0,0.0,114.0,0.0
