match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
3813317,East Bengal,47.0,1.66,53.19,27.66,19.15,Low Block,25.0,13.0,9.0
3813317,Odisha,63.0,1.397,69.84,20.63,9.52,Low Block,44.0,13.0,6.0
3813318,Mumbai City,46.0,1.478,63.04,26.09,10.87,Low Block,29.0,12.0,5.0
3813318,NorthEast United,84.0,1.452,67.86,19.05,13.1,Low Block,57.0,16.0,11.0
3817848,ATK Mohun Bagan,79.0,1.367,72.15,18.99,8.86,Low Block,57.0,15.0,7.0
3817848,Goa,53.0,1.472,60.38,32.08,7.55,Low Block,32.0,17.0,4.0
3817849,Bengaluru,52.0,1.538,55.77,34.62,9.62,Low Block,29.0,18.0,5.0
3817849,Mumbai City,58.0,1.379,68.97,24.14,6.9,Low Block,40.0,14.0,4.0
3817850,East Bengal,82.0,1.183,85.37,10.98,3.66,Low Block,70.0,9.0,3.0
3817850,Jamshedpur,49.0,1.531,55.1,36.73,8.16,Low Block,27.0,18.0,4.0
3817851,Kerala Blasters,75.0,1.48,61.33,29.33,9.33,Low Block,46.0,22.0,7.0
3817851,Odisha,46.0,1.5,60.87,28.26,10.87,Low Block,28.0,13.0,5.0
3817852,Chennaiyin,62.0,1.516,61.29,25.81,12.9,Low Block,38.0,16.0,8.0
3817852,Mumbai City,56.0,1.429,62.5,32.14,5.36,Low Block,35.0,18.0,3.0
3817853,East Bengal,67.0,1.194,82.09,16.42,1.49,Low Block,55.0,11.0,1.0
3817853,Goa,40.0,1.925,30.0,47.5,22.5,Balanced,12.0,19.0,9.0
3817854,ATK Mohun Bagan,65.0,1.415,69.23,20.0,10.77,Low Block,45.0,13.0,7.0
3817854,Bengaluru,68.0,1.588,51.47,38.24,10.29,Low Block,35.0,26.0,7.0
3817855,ATK Mohun Bagan,52.0,1.423,63.46,30.77,5.77,Low Block,33.0,16.0,3.0
3817855,Kerala Blasters,51.0,1.333,76.47,13.73,9.8,Low Block,39.0,7.0,5.0
3817856,ATK Mohun Bagan,83.0,1.482,60.24,31.33,8.43,Low Block,50.0,26.0,7.0
3817856,Jamshedpur,84.0,1.429,64.29,28.57,7.14,Low Block,54.0,24.0,6.0
3817857,Hyderabad,65.0,1.4,70.77,18.46,10.77,Low Block,46.0,12.0,7.0
3817857,Jamshedpur,68.0,1.647,50.0,35.29,14.71,Balanced,34.0,24.0,10.0
3817858,Chennaiyin,56.0,1.268,78.57,16.07,5.36,Low Block,44.0,9.0,3.0
3817858,Kerala Blasters,42.0,1.595,50.0,40.48,9.52,Balanced,21.0,17.0,4.0
3817859,Jamshedpur,47.0,1.574,53.19,36.17,10.64,Low Block,25.0,17.0,5.0
3817859,NorthEast United,47.0,1.234,80.85,14.89,4.26,Low Block,38.0,7.0,2.0
3817860,Hyderabad,60.0,1.817,38.33,41.67,20.0,Balanced,23.0,25.0,12.0
3817860,Odisha,61.0,1.328,72.13,22.95,4.92,Low Block,44.0,14.0,3.0
3817861,Bengaluru,41.0,1.293,73.17,24.39,2.44,Low Block,30.0,10.0,1.0
3817861,Kerala Blasters,49.0,1.755,46.94,30.61,22.45,Balanced,23.0,15.0,11.0
3817862,Mumbai City,51.0,1.471,64.71,23.53,11.76,Low Block,33.0,12.0,6.0
3817862,Odisha,57.0,1.421,68.42,21.05,10.53,Low Block,39.0,12.0,6.0
3817863,Goa,52.0,1.288,73.08,25.0,1.92,Low Block,38.0,13.0,1.0
3817863,Hyderabad,51.0,1.392,70.59,19.61,9.8,Low Block,36.0,10.0,5.0
3817864,ATK Mohun Bagan,49.0,1.49,61.22,28.57,10.2,Low Block,30.0,14.0,5.0
3817864,Mumbai City,58.0,1.414,67.24,24.14,8.62,Low Block,39.0,14.0,5.0
3817865,NorthEast United,52.0,1.442,63.46,28.85,7.69,Low Block,33.0,15.0,4.0
3817865,Odisha,51.0,1.431,66.67,23.53,9.8,Low Block,34.0,12.0,5.0
3817866,Kerala Blasters,64.0,1.297,71.88,26.56,1.56,Low Block,46.0,17.0,1.0
3817866,Mumbai City,49.0,1.367,69.39,24.49,6.12,Low Block,34.0,12.0,3.0
3817867,Mumbai City,54.0,1.519,59.26,29.63,11.11,Low Block,32.0,16.0,6.0
3817867,NorthEast United,39.0,1.256,76.92,20.51,2.56,Low Block,30.0,8.0,1.0
3817868,Bengaluru,65.0,1.385,64.62,32.31,3.08,Low Block,42.0,21.0,2.0
3817868,Chennaiyin,43.0,1.605,51.16,37.21,11.63,Low Block,22.0,16.0,5.0
3817869,Bengaluru,47.0,1.553,53.19,38.3,8.51,Low Block,25.0,18.0,4.0
3817869,Hyderabad,54.0,1.463,57.41,38.89,3.7,Low Block,31.0,21.0,2.0
3817870,Goa,55.0,1.4,63.64,32.73,3.64,Low Block,35.0,18.0,2.0
3817870,Kerala Blasters,62.0,1.435,62.9,30.65,6.45,Low Block,39.0,19.0,4.0
3817871,Hyderabad,45.0,1.378,64.44,33.33,2.22,Low Block,29.0,15.0,1.0
3817871,NorthEast United,37.0,1.405,70.27,18.92,10.81,Low Block,26.0,7.0,4.0
3817872,Bengaluru,52.0,1.442,61.54,32.69,5.77,Low Block,32.0,17.0,3.0
3817872,Odisha,56.0,1.589,51.79,37.5,10.71,Low Block,29.0,21.0,6.0
3817873,ATK Mohun Bagan,73.0,1.342,72.6,20.55,6.85,Low Block,53.0,15.0,5.0
3817873,NorthEast United,40.0,1.425,65.0,27.5,7.5,Low Block,26.0,11.0,3.0
3817874,Bengaluru,65.0,1.677,50.77,30.77,18.46,Low Block,33.0,20.0,12.0
3817874,Goa,47.0,1.362,72.34,19.15,8.51,Low Block,34.0,9.0,4.0
3817875,Goa,46.0,1.543,54.35,36.96,8.7,Low Block,25.0,17.0,4.0
3817875,Jamshedpur,72.0,1.542,55.56,34.72,9.72,Low Block,40.0,25.0,7.0
3817876,Chennaiyin,67.0,1.254,76.12,22.39,1.49,Low Block,51.0,15.0,1.0
3817876,NorthEast United,55.0,1.436,63.64,29.09,7.27,Low Block,35.0,16.0,4.0
3817877,Bengaluru,38.0,1.526,60.53,26.32,13.16,Low Block,23.0,10.0,5.0
3817877,NorthEast United,61.0,1.279,77.05,18.03,4.92,Low Block,47.0,11.0,3.0
3817878,East Bengal,50.0,1.5,56.0,38.0,6.0,Low Block,28.0,19.0,3.0
3817878,Hyderabad,71.0,1.521,56.34,35.21,8.45,Low Block,40.0,25.0,6.0
3817879,Chennaiyin,80.0,1.238,78.75,18.75,2.5,Low Block,63.0,15.0,2.0
3817879,Hyderabad,51.0,1.588,60.78,19.61,19.61,Low Block,31.0,10.0,10.0
3817880,Chennaiyin,50.0,1.38,70.0,22.0,8.0,Low Block,35.0,11.0,4.0
3817880,Odisha,57.0,1.228,80.7,15.79,3.51,Low Block,46.0,9.0,2.0
3817881,Jamshedpur,32.0,1.656,53.12,28.12,18.75,Low Block,17.0,9.0,6.0
3817881,Kerala Blasters,54.0,1.37,68.52,25.93,5.56,Low Block,37.0,14.0,3.0
3817882,Chennaiyin,67.0,1.194,82.09,16.42,1.49,Low Block,55.0,11.0,1.0
3817882,East Bengal,55.0,1.436,63.64,29.09,7.27,Low Block,35.0,16.0,4.0
3817883,Bengaluru,58.0,1.259,75.86,22.41,1.72,Low Block,44.0,13.0,1.0
3817883,Jamshedpur,48.0,1.375,68.75,25.0,6.25,Low Block,33.0,12.0,3.0
