match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
3817851,Kerala Blasters,Adrián Nicolás Luna Retamar,0.0,2.0,34.0,3.0,0.0,5.0,1.0,2.0,8.0,6.0,27.0,20.0,3.0,39.0,25.0,87.18,5.13,7.69,37.74,Balanced Defender
3802907,Lille,Benjamin André,0.0,1.0,35.0,3.0,0.0,3.0,3.0,2.0,4.0,18.0,25.0,6.0,0.0,39.0,50.0,89.74,2.56,0.0,12.24,Balanced Defender
3895086,FC Heidenheim,Nikola Dovedan,0.0,0.0,36.0,3.0,1.0,6.0,1.0,2.0,7.0,25.0,28.0,1.0,0.0,39.0,28.57,92.31,0.0,0.0,1.85,Balanced Defender
3802696,Stade de Reims,Marshall Nyasha Munetsi,0.0,7.0,28.0,4.0,2.0,6.0,2.0,2.0,8.0,19.0,31.0,7.0,3.0,39.0,25.0,71.79,17.95,7.69,12.28,Balanced Defender
3837680,Paris Saint-Germain,Marco Verratti,0.0,1.0,35.0,3.0,0.0,7.0,1.0,3.0,7.0,19.0,28.0,7.0,0.0,39.0,42.86,89.74,2.56,0.0,12.96,Balanced Defender
3803000,Clermont Foot,Johan Gastien,0.0,4.0,35.0,0.0,0.0,5.0,1.0,1.0,2.0,15.0,26.0,6.0,2.0,39.0,50.0,89.74,10.26,5.13,12.77,Balanced Defender
3813306,NorthEast United,Imran Khan,0.0,5.0,32.0,1.0,0.0,5.0,4.0,0.0,1.0,14.0,28.0,6.0,3.0,38.0,0.0,84.21,13.16,7.89,12.5,Balanced Defender
3895134,Bayer Leverkusen,Florian Wirtz,0.0,0.0,36.0,2.0,1.0,4.0,2.0,0.0,0.0,14.0,17.0,14.0,2.0,38.0,0.0,94.74,0.0,5.26,31.11,Balanced Defender
3895302,Bayer Leverkusen,Jonas Hofmann,0.0,0.0,38.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,13.0,27.0,4.0,38.0,0.0,100.0,0.0,10.53,64.29,Balanced Defender
3813318,NorthEast United,Pragyan Sundar Gogoi,0.0,2.0,31.0,5.0,2.0,6.0,5.0,0.0,2.0,19.0,31.0,3.0,2.0,38.0,0.0,81.58,5.26,5.26,5.66,Balanced Defender
3802752,Paris Saint-Germain,Idrissa Gana Gueye,0.0,3.0,34.0,1.0,1.0,2.0,2.0,0.0,3.0,19.0,21.0,6.0,3.0,38.0,0.0,89.47,7.89,7.89,13.04,Balanced Defender
3817888,East Bengal,Naorem Mahesh Singh,0.0,0.0,37.0,1.0,0.0,9.0,1.0,1.0,6.0,17.0,23.0,14.0,6.0,38.0,16.67,97.37,0.0,15.79,25.93,Balanced Defender
3837706,Stade Brestois,Haris Belkebla,0.0,5.0,32.0,1.0,1.0,4.0,1.0,1.0,3.0,14.0,29.0,4.0,1.0,38.0,33.33,84.21,13.16,2.63,8.51,Balanced Defender
3802683,AS Monaco,Aleksandr Golovin,0.0,0.0,38.0,0.0,0.0,4.0,2.0,0.0,4.0,5.0,26.0,17.0,2.0,38.0,0.0,100.0,0.0,5.26,35.42,Balanced Defender
3802904,Bordeaux,Yacine Adli,0.0,0.0,37.0,1.0,0.0,6.0,1.0,1.0,2.0,10.0,25.0,12.0,5.0,38.0,50.0,97.37,0.0,13.16,25.53,Balanced Defender
3837683,Toulouse,Stijn Spierings,0.0,2.0,33.0,3.0,1.0,5.0,4.0,3.0,4.0,21.0,23.0,8.0,3.0,38.0,75.0,86.84,5.26,7.89,15.38,Dominant Duelist
3895309,Borussia Dortmund,Niclas Füllkrug,0.0,1.0,33.0,4.0,0.0,1.0,3.0,0.0,7.0,1.0,33.0,15.0,1.0,38.0,0.0,86.84,2.63,2.63,30.61,Balanced Defender
3813271,Kerala Blasters,Lalthathanga Khawlhring,0.0,1.0,37.0,0.0,0.0,2.0,4.0,1.0,7.0,12.0,37.0,2.0,0.0,38.0,14.29,97.37,2.63,0.0,3.92,Balanced Defender
3895258,FC Köln,Dejan Ljubicic,0.0,1.0,35.0,2.0,1.0,5.0,2.0,0.0,0.0,27.0,18.0,1.0,1.0,38.0,0.0,92.11,2.63,2.63,2.17,Balanced Defender
3817855,ATK Mohun Bagan,Joni Ensio Kauko,0.0,3.0,33.0,2.0,0.0,5.0,1.0,0.0,5.0,6.0,29.0,14.0,3.0,38.0,0.0,86.84,7.89,7.89,28.57,Balanced Defender
3838017,Clermont Foot,Elbasan Rashani,0.0,0.0,37.0,0.0,1.0,4.0,3.0,0.0,5.0,11.0,14.0,25.0,3.0,37.0,0.0,100.0,0.0,8.11,50.0,Balanced Defender
3817863,Hyderabad,Joel Joseph Chianese,0.0,1.0,36.0,0.0,2.0,8.0,0.0,0.0,1.0,7.0,18.0,23.0,4.0,37.0,0.0,97.3,2.7,10.81,47.92,Balanced Defender
3895060,Borussia Mönchengladbach,Julian Weigl,0.0,3.0,28.0,6.0,0.0,3.0,2.0,0.0,3.0,23.0,20.0,2.0,1.0,37.0,0.0,75.68,8.11,2.7,4.44,Balanced Defender
3895302,Werder Bremen,Leonardo Bittencourt,0.0,1.0,35.0,1.0,0.0,6.0,1.0,0.0,3.0,13.0,26.0,8.0,4.0,37.0,0.0,94.59,2.7,10.81,17.02,Balanced Defender
3895210,Borussia Mönchengladbach,Florian Neuhaus,0.0,2.0,34.0,1.0,1.0,7.0,0.0,1.0,5.0,32.0,16.0,2.0,1.0,37.0,20.0,91.89,5.41,2.7,4.0,Balanced Defender
3813300,Kerala Blasters,Adrián Nicolás Luna Retamar,0.0,2.0,32.0,3.0,0.0,4.0,0.0,0.0,5.0,10.0,20.0,16.0,3.0,37.0,0.0,86.49,5.41,8.11,34.78,Balanced Defender
3895220,Darmstadt 98,Oscar Vilhelmsson,0.0,0.0,32.0,4.0,0.0,4.0,1.0,0.0,2.0,1.0,31.0,11.0,2.0,36.0,0.0,88.89,0.0,5.56,25.58,Balanced Defender
3837876,Lille,Jonathan David,0.0,0.0,35.0,1.0,0.0,5.0,3.0,0.0,4.0,3.0,16.0,29.0,3.0,36.0,0.0,97.22,0.0,8.33,60.42,Balanced Defender
3837928,Lyon,Sael Kumbedi Nseke,0.0,1.0,34.0,1.0,2.0,6.0,1.0,2.0,4.0,32.0,14.0,3.0,2.0,36.0,50.0,94.44,2.78,5.56,6.12,Balanced Defender
3817890,Goa,Glan Martins,0.0,4.0,30.0,2.0,2.0,3.0,0.0,1.0,6.0,14.0,24.0,9.0,3.0,36.0,16.67,83.33,11.11,8.33,19.15,Balanced Defender
3802948,Metz,Vincent Pajot,0.0,2.0,32.0,2.0,0.0,4.0,2.0,0.0,7.0,22.0,25.0,2.0,1.0,36.0,0.0,88.89,5.56,2.78,4.08,Balanced Defender
3895095,Bayer Leverkusen,Alejandro Grimaldo García,0.0,4.0,23.0,9.0,4.0,10.0,1.0,1.0,4.0,31.0,21.0,3.0,1.0,36.0,25.0,63.89,11.11,2.78,5.45,Balanced Defender
3838004,Strasbourg,Ibrahima Sissoko,0.0,2.0,31.0,3.0,3.0,4.0,2.0,2.0,3.0,13.0,32.0,3.0,1.0,36.0,66.67,86.11,5.56,2.78,6.25,Dominant Duelist
3802818,Lorient,Thomas Monconduit,0.0,1.0,33.0,2.0,0.0,7.0,3.0,1.0,2.0,24.0,20.0,4.0,2.0,36.0,50.0,91.67,2.78,5.56,8.33,Balanced Defender
3895139,Union Berlin,Alex Král,0.0,0.0,35.0,1.0,1.0,7.0,0.0,0.0,1.0,12.0,30.0,3.0,1.0,36.0,0.0,97.22,0.0,2.78,6.67,Balanced Defender
3895139,Union Berlin,Janik Haberer,0.0,0.0,35.0,1.0,0.0,3.0,0.0,0.0,2.0,8.0,30.0,3.0,1.0,36.0,0.0,97.22,0.0,2.78,7.32,Balanced Defender
3817872,Bengaluru,Bruno Edgar Silva Almeida,0.0,3.0,32.0,1.0,0.0,10.0,5.0,1.0,5.0,16.0,32.0,8.0,8.0,36.0,20.0,88.89,8.33,22.22,14.29,Balanced Defender
3895302,Werder Bremen,Senne Lynen,0.0,2.0,31.0,3.0,3.0,4.0,1.0,1.0,3.0,30.0,11.0,6.0,2.0,36.0,33.33,86.11,5.56,5.56,12.77,Balanced Defender
3837727,OGC Nice,Gaëtan Laborde,0.0,1.0,31.0,3.0,0.0,4.0,2.0,0.0,1.0,9.0,10.0,23.0,4.0,35.0,0.0,88.57,2.86,11.43,54.76,Balanced Defender
3837938,Paris Saint-Germain,Achraf Hakimi Mouh,0.0,1.0,30.0,4.0,4.0,1.0,1.0,2.0,6.0,26.0,11.0,10.0,1.0,35.0,33.33,85.71,2.86,2.86,21.28,Balanced Defender
3817874,Bengaluru,Naorem Roshan Singh,0.0,8.0,20.0,7.0,0.0,6.0,2.0,3.0,6.0,24.0,19.0,6.0,1.0,35.0,50.0,57.14,22.86,2.86,12.24,Balanced Defender
3895113,Wolfsburg,Yannick Gerhardt,0.0,1.0,33.0,1.0,0.0,2.0,3.0,0.0,0.0,11.0,24.0,5.0,1.0,35.0,0.0,94.29,2.86,2.86,12.5,Balanced Defender
