player,team,match_id,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
Emil Peter Forsberg,RB Leipzig,3895052,2,0.307,0.102,6.0,48.0,0.575
Sven Michel,Augsburg,3895348,2,0.241,0.121,4.0,38.0,0.572
Thomas Monconduit,Lorient,3802690,1,0.564,0.564,1.0,89.0,0.571
Granit Xhaka,Bayer Leverkusen,3895095,1,0.489,0.489,7.0,77.0,0.571
Edmond Fayçal Tapsoba,Bayer Leverkusen,3895182,3,0.495,0.165,11.0,78.0,0.571
Mohammad Yasir,Hyderabad,3813305,1,0.114,0.114,2.0,18.0,0.568
Leander D''Cunha,Goa,3817848,3,0.17,0.057,9.0,27.0,0.568
Gaëtan Perrin,Auxerre,3837998,1,0.044,0.044,2.0,7.0,0.567
Jonathan Clauss,Marseille,3837885,1,0.492,0.164,6.0,78.0,0.567
Gustavo Adolfo Puerta Molano,Bayer Leverkusen,3895107,1,0.025,0.025,2.0,4.0,0.566
Seityasen Singh,Hyderabad,3817871,3,0.452,0.151,7.0,72.0,0.565
Lalkhawpuimawia Lalkhawpuimawia,NorthEast United,3817865,1,0.292,0.292,1.0,47.0,0.559
Rochharzela Rochharzela,NorthEast United,3813297,1,0.484,0.161,9.0,78.0,0.558
Nordi Mukiele Mulere,Paris Saint-Germain,3837650,4,0.545,0.136,20.0,88.0,0.557
Liridon Krasniqi,Odisha,3817872,1,0.179,0.179,2.0,29.0,0.556
Eduardo García Martín,Hyderabad,3813290,3,1.148,0.383,5.0,186.0,0.555
Ayush Adhikari,Kerala Blasters,3827335,3,0.981,0.327,5.0,159.0,0.555
Boubacar Traore,Metz,3802948,1,0.338,0.338,2.0,55.0,0.553
Khumanthem Ninthoinganba Meetei,Chennaiyin,3817868,1,0.098,0.049,2.0,16.0,0.55
Nico Schlotterbeck,Borussia Dortmund,3895158,1,0.379,0.379,2.0,63.0,0.541
Jamie Jermaine Bynoe-Gittens,Borussia Dortmund,3895158,1,0.379,0.379,4.0,63.0,0.541
Amine Adli,Bayer Leverkusen,3895095,2,0.54,0.18,7.0,90.0,0.54
Dion Lopy,Stade de Reims,3837839,3,0.215,0.072,16.0,36.0,0.539
Marco Richter,FSV Mainz 05,3895095,1,0.054,0.054,6.0,9.0,0.539
Gustavo Adolfo Puerta Molano,Bayer Leverkusen,3895340,4,0.335,0.084,12.0,56.0,0.538
Idrissa Gana Gueye,Paris Saint-Germain,3802685,2,0.263,0.131,4.0,44.0,0.537
Gedeon Kalulu Kyatengwa,Lorient,3837963,2,0.762,0.381,4.0,128.0,0.536
Angel Gomes,Lille,3802907,1,0.125,0.125,4.0,21.0,0.536
Ibrahima Koné,Lorient,3837963,2,0.762,0.381,4.0,128.0,0.536
Edwin Sydney Vanspaul,Chennaiyin,3817876,1,0.137,0.137,4.0,23.0,0.535
Germanpreet Singh,Chennaiyin,3817868,3,0.66,0.22,6.0,111.0,0.535
Alejandro Grimaldo García,Bayer Leverkusen,3895340,5,0.356,0.071,16.0,60.0,0.534
Chencho Gyeltshen,Kerala Blasters,3813314,1,0.101,0.101,2.0,17.0,0.533
Renato Júnior Luz Sanches,Paris Saint-Germain,3837752,3,1.07,0.357,8.0,183.0,0.526
Makan Winkle Chote,Goa,3817898,2,0.873,0.437,10.0,150.0,0.524
Nathan Tella,Bayer Leverkusen,3895153,2,0.128,0.064,10.0,22.0,0.524
Ibrahima Sissoko,Strasbourg,3802643,2,0.433,0.144,12.0,75.0,0.52
Patrick Flottmann,NorthEast United,3813318,1,0.531,0.531,1.0,92.0,0.519
Udanta Kumam Singh,Bengaluru,3817869,1,0.178,0.178,2.0,31.0,0.518
Deshorn Brown,NorthEast United,3817873,1,0.121,0.121,1.0,21.0,0.518
Deniz Undav,VfB Stuttgart,3895320,2,0.827,0.414,4.0,144.0,0.517
Gianluigi Donnarumma,Paris Saint-Germain,3837752,2,0.988,0.494,3.0,172.0,0.517
Rohit Danu,Hyderabad,3813304,1,0.252,0.252,1.0,44.0,0.516
Alejandro Grimaldo García,Bayer Leverkusen,3895302,1,0.068,0.068,2.0,12.0,0.513
Grejohn Kyei,Clermont Foot,3838017,2,0.943,0.471,8.0,166.0,0.511
Robert Andrich,Bayer Leverkusen,3895067,5,0.913,0.152,15.0,162.0,0.507
Dennis Appiah,Nantes,3802984,4,1.813,0.259,28.0,322.0,0.507
Jordan Murray,Jamshedpur,3817899,2,0.281,0.14,6.0,50.0,0.506
Georginio Wijnaldum,Paris Saint-Germain,3802685,3,0.472,0.118,5.0,84.0,0.506
Danilo Luís Hélio Pereira,Paris Saint-Germain,3837680,2,0.348,0.174,4.0,62.0,0.505
Gani Ahmed Nigam,NorthEast United,3817886,1,0.033,0.033,2.0,6.0,0.502
Marcelo Leite Pereira,NorthEast United,3817859,1,0.546,0.273,10.0,98.0,0.501
Jonathan Tah,Bayer Leverkusen,3895095,1,0.489,0.489,2.0,88.0,0.5
Warren Zaire Emery,Paris Saint-Germain,3837818,1,0.083,0.083,6.0,15.0,0.5
Isaac Vanmalsawma Chhakchhuak,Odisha,3813300,3,0.814,0.271,12.0,147.0,0.498
Lalhrezuala Sailung,Odisha,3813295,1,0.504,0.504,4.0,91.0,0.498
Princeton Rebello,Goa,3813267,1,0.06,0.06,2.0,11.0,0.494
João Victor da Silva Marcelino,Nantes,3837896,2,0.241,0.12,2.0,44.0,0.492
Yussuf Yurary Poulsen,RB Leipzig,3895052,2,0.54,0.18,6.0,99.0,0.491
Imran Khan,NorthEast United,3817859,2,1.013,0.507,5.0,186.0,0.49
Eli Sabia Filho,Jamshedpur,3813307,1,0.033,0.033,6.0,6.0,0.489
Eduardo Bedia Peláez,Goa,3813285,1,0.515,0.515,1.0,95.0,0.488
Victor Okoh Boniface,Bayer Leverkusen,3895180,2,1.134,0.378,3.0,210.0,0.486
Muhammed Cham Saracevic,Clermont Foot,3838017,2,0.744,0.372,5.0,138.0,0.485
Nuno Mendes,Paris Saint-Germain,3802904,2,0.893,0.446,4.0,166.0,0.484
Fabián Ruiz Peña,Paris Saint-Germain,3837771,4,0.687,0.172,22.0,128.0,0.483
Danish Farooq Bhat,Bengaluru,3813293,2,0.118,0.059,4.0,22.0,0.483
Jonathas Cristian de Jesus,Odisha,3817872,2,1.012,0.337,3.0,189.0,0.482
Marco Verratti,Paris Saint-Germain,3802793,3,0.499,0.166,5.0,93.0,0.482
Hormipam Ruivah,Kerala Blasters,3817870,1,0.053,0.053,3.0,10.0,0.48
Mauro Emanuel Icardi Rivero,Paris Saint-Germain,3802709,1,0.043,0.043,2.0,8.0,0.48
Nongdamba Singh Naorem,Goa,3817848,1,0.042,0.042,2.0,8.0,0.478
Adrián Nicolás Luna Retamar,Kerala Blasters,3813271,2,0.624,0.312,5.0,118.0,0.476
Warren Zaire Emery,Paris Saint-Germain,3837844,4,0.486,0.122,10.0,92.0,0.476
Jeff Reine-Adélaïde,Lyon,3837717,3,0.286,0.095,14.0,54.0,0.476
Suresh Singh Wangjam,Bengaluru,3817868,3,0.886,0.295,5.0,168.0,0.475
Raynier Fernandes,Mumbai City,3817867,2,0.285,0.142,4.0,54.0,0.474
Alejandro Grimaldo García,Bayer Leverkusen,3895095,1,0.489,0.489,5.0,93.0,0.473
Keisham Reagan Singh,Chennaiyin,3817879,1,0.016,0.016,3.0,3.0,0.472
Liridon Krasniqi,Odisha,3817865,2,0.373,0.187,4.0,72.0,0.466
Leandro Daniel Paredes,Paris Saint-Germain,3802683,1,0.057,0.057,3.0,11.0,0.465
Ander Herrera Agüera,Paris Saint-Germain,3802683,1,0.057,0.057,3.0,11.0,0.465
Ngasepam Tondonba Singh,NorthEast United,3813302,2,0.98,0.49,2.0,190.0,0.464
Rohit Kumar,Bengaluru,3817868,4,0.969,0.242,7.0,188.0,0.464
Badredine Bouanani,OGC Nice,3837938,2,0.072,0.036,8.0,14.0,0.464
Arthur Desmas,Clermont Foot,3803000,2,0.897,0.448,6.0,174.0,0.464
Nishu Kumar Tashni,Kerala Blasters,3827335,2,0.545,0.273,4.0,106.0,0.463
Alexander Romario Jesuraj,Goa,3817848,1,0.093,0.093,2.0,18.0,0.463
Vitor Machado Ferreira,Paris Saint-Germain,3837695,2,0.328,0.164,4.0,64.0,0.461
