match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
3895258,Bayer Leverkusen,Piero Martín Hincapié Reyna,91.0,79.0,170.0,9,10,19,21.46
3895113,Bayer Leverkusen,Granit Xhaka,89.0,80.0,169.0,12,11,23,29.81
3895292,Bayer Leverkusen,Jonathan Tah,86.0,83.0,169.0,10,11,21,27.04
3802690,Paris Saint-Germain,Marcos Aoás Corrêa,86.0,83.0,169.0,9,10,19,22.56
3837938,Paris Saint-Germain,Sergio Ramos García,86.0,83.0,169.0,10,10,20,24.53
3837896,Paris Saint-Germain,Warren Zaire Emery,87.0,82.0,169.0,11,12,23,23.44
3837954,Angers,Himad Abdelli,87.0,81.0,168.0,13,13,26,41.58
3895210,Bayer Leverkusen,Alejandro Grimaldo García,81.0,87.0,168.0,11,11,22,18.48
3802690,Paris Saint-Germain,Ángel Fabián Di María Hernández,74.0,94.0,168.0,10,10,20,22.43
3837717,Paris Saint-Germain,Marco Verratti,87.0,81.0,168.0,10,10,20,22.37
3895052,RB Leipzig,Willi Orban,83.0,84.0,167.0,14,13,27,32.62
3802795,Paris Saint-Germain,Leandro Daniel Paredes,87.0,80.0,167.0,10,12,22,25.38
3813267,Goa,Eduardo Bedia Peláez,87.0,80.0,167.0,13,12,25,32.94
3837717,Paris Saint-Germain,Danilo Luís Hélio Pereira,86.0,81.0,167.0,13,13,26,22.24
3895266,Bayer Leverkusen,Jonathan Tah,88.0,79.0,167.0,10,9,19,19.24
3837706,Paris Saint-Germain,Sergio Ramos García,88.0,78.0,166.0,13,12,25,26.35
3837918,Paris Saint-Germain,Danilo Luís Hélio Pereira,86.0,80.0,166.0,12,13,25,27.39
3837695,Paris Saint-Germain,Lionel Andrés Messi Cuccittini,73.0,93.0,166.0,12,15,27,25.54
3895158,Bayer Leverkusen,Florian Wirtz,82.0,84.0,166.0,10,11,21,27.3
3802685,Paris Saint-Germain,Presnel Kimpembe,90.0,76.0,166.0,12,10,22,25.23
3837839,Paris Saint-Germain,Achraf Hakimi Mouh,86.0,79.0,165.0,10,13,23,25.27
3802690,Paris Saint-Germain,Lionel Andrés Messi Cuccittini,73.0,92.0,165.0,10,10,20,22.03
3837998,Paris Saint-Germain,Danilo Luís Hélio Pereira,84.0,81.0,165.0,11,10,21,23.24
3837717,Paris Saint-Germain,Marcos Aoás Corrêa,85.0,80.0,165.0,10,11,21,21.97
3837844,Paris Saint-Germain,Achraf Hakimi Mouh,80.0,85.0,165.0,10,12,22,25.27
3802699,Paris Saint-Germain,Presnel Kimpembe,86.0,78.0,164.0,10,9,19,29.29
3813266,Goa,Eduardo Bedia Peláez,83.0,81.0,164.0,12,11,23,35.96
3895286,Bayer Leverkusen,Florian Wirtz,74.0,90.0,164.0,13,10,23,24.05
3837896,Paris Saint-Germain,Vitor Machado Ferreira,81.0,83.0,164.0,11,11,22,22.75
3895107,Bayer Leverkusen,Jonathan Tah,84.0,80.0,164.0,11,8,19,23.07
3895258,Bayer Leverkusen,Alejandro Grimaldo García,83.0,81.0,164.0,11,12,23,20.71
3895194,Bayer Leverkusen,Jonas Hofmann,78.0,85.0,163.0,10,10,20,21.53
3895292,Bayer Leverkusen,Granit Xhaka,83.0,80.0,163.0,13,12,25,26.08
3895202,Bayer Leverkusen,Granit Xhaka,82.0,81.0,163.0,11,10,21,27.26
3837839,Paris Saint-Germain,Sergio Ramos García,82.0,81.0,163.0,11,10,21,24.96
3895194,Bayer Leverkusen,Josip Stanišić,87.0,75.0,162.0,11,8,19,21.4
3802805,Paris Saint-Germain,Abdou Diallo,83.0,79.0,162.0,9,9,18,25.59
3817889,ATK Mohun Bagan,José Luis Espinosa Arroyo,82.0,80.0,162.0,11,11,22,29.45
3802802,Paris Saint-Germain,Marcos Aoás Corrêa,85.0,77.0,162.0,12,13,25,20.48
3838004,Paris Saint-Germain,Marco Verratti,82.0,80.0,162.0,10,9,19,22.82
3895286,Bayer Leverkusen,Jonathan Tah,90.0,72.0,162.0,11,10,21,23.75
3803000,Clermont Foot,Johan Gastien,79.0,83.0,162.0,14,14,28,44.63
3802793,Paris Saint-Germain,Presnel Kimpembe,82.0,79.0,161.0,10,10,20,23.03
3895180,Bayer Leverkusen,Edmond Fayçal Tapsoba,84.0,77.0,161.0,12,10,22,23.57
3802948,Paris Saint-Germain,Sergio Ramos García,86.0,75.0,161.0,13,13,26,22.27
3837695,Paris Saint-Germain,Marco Verratti,82.0,78.0,160.0,12,12,24,24.62
3802643,Paris Saint-Germain,Marco Verratti,81.0,79.0,160.0,10,11,21,27.92
3895340,Bayer Leverkusen,Granit Xhaka,79.0,81.0,160.0,11,12,23,27.59
3895139,Bayer Leverkusen,Jonathan Tah,79.0,81.0,160.0,11,9,20,20.43
3895220,Bayer Leverkusen,Robert Andrich,85.0,75.0,160.0,11,10,21,22.35
3895302,Bayer Leverkusen,Granit Xhaka,78.0,81.0,159.0,12,12,24,27.23
3837683,Paris Saint-Germain,Marco Verratti,85.0,74.0,159.0,9,10,19,27.85
3895202,Bayer Leverkusen,Exequiel Alejandro Palacios,78.0,81.0,159.0,9,11,20,26.59
3827767,Kerala Blasters,Marko Lešković,81.0,78.0,159.0,12,11,23,34.49
3817889,ATK Mohun Bagan,Sandesh Jhingan,78.0,80.0,158.0,10,10,20,28.73
3802665,Paris Saint-Germain,Sergio Ramos García,80.0,78.0,158.0,9,10,19,22.07
3895210,Bayer Leverkusen,Florian Wirtz,76.0,82.0,158.0,10,10,20,17.38
3895266,Bayer Leverkusen,Alejandro Grimaldo García,80.0,78.0,158.0,13,9,22,18.2
3813318,Mumbai City,Ahmed Jahouh,81.0,77.0,158.0,12,11,23,38.54
3895194,Bayer Leverkusen,Robert Andrich,85.0,72.0,157.0,10,9,19,20.74
3895302,Bayer Leverkusen,Robert Andrich,81.0,76.0,157.0,11,13,24,26.88
3837947,Paris Saint-Germain,Sergio Ramos García,81.0,76.0,157.0,11,12,23,22.33
3813315,Goa,Eduardo Bedia Peláez,77.0,80.0,157.0,10,14,24,33.62
3802793,Paris Saint-Germain,Marcos Aoás Corrêa,84.0,73.0,157.0,11,11,22,22.46
3895286,Bayer Leverkusen,Robert Andrich,78.0,79.0,157.0,12,12,24,23.02
3802690,Paris Saint-Germain,Ander Herrera Agüera,80.0,77.0,157.0,11,11,22,20.96
3895107,Bayer Leverkusen,Alejandro Grimaldo García,80.0,77.0,157.0,12,12,24,22.08
3895258,Bayer Leverkusen,Robert Andrich,78.0,79.0,157.0,12,13,25,19.82
3802793,Paris Saint-Germain,Achraf Hakimi Mouh,84.0,72.0,156.0,11,12,23,22.32
3802696,Paris Saint-Germain,Idrissa Gana Gueye,80.0,76.0,156.0,13,12,25,23.04
3837827,Paris Saint-Germain,Sergio Ramos García,80.0,75.0,155.0,13,13,26,24.45
3837859,Paris Saint-Germain,Marcos Aoás Corrêa,80.0,75.0,155.0,11,12,23,26.36
3802709,Paris Saint-Germain,Idrissa Gana Gueye,76.0,79.0,155.0,11,13,24,26.09
3803000,Paris Saint-Germain,Neymar da Silva Santos Junior,72.0,83.0,155.0,12,10,22,22.37
3895086,Bayer Leverkusen,Odilon Kossonou,82.0,73.0,155.0,11,9,20,19.6
3837680,Paris Saint-Germain,Sergio Ramos García,79.0,76.0,155.0,11,11,22,23.45
3837844,Paris Saint-Germain,Fabián Ruiz Peña,77.0,78.0,155.0,13,13,26,23.74
3837947,Paris Saint-Germain,Lionel Andrés Messi Cuccittini,70.0,84.0,154.0,10,10,20,21.91
3895210,Bayer Leverkusen,Nadiem Amiri,78.0,76.0,154.0,9,9,18,16.94
3837902,Paris Saint-Germain,Danilo Luís Hélio Pereira,76.0,78.0,154.0,10,11,21,26.37
3895348,Bayer Leverkusen,Jonathan Tah,80.0,74.0,154.0,12,10,22,21.97
