match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
3813292,Kerala Blasters,13,0.545,26.0,0.042,2.0
3813293,Bengaluru,22,2.468,69.0,0.112,3.14
3813293,East Bengal,12,0.9460000000000001,30.0,0.079,2.5
3813294,Chennaiyin,23,2.731,48.0,0.119,2.09
3813294,NorthEast United,37,1.3920000000000001,87.0,0.038,2.35
3813295,Hyderabad,13,2.446,22.0,0.188,1.69
3813295,Odisha,21,3.363,54.0,0.16,2.57
3813296,Kerala Blasters,27,2.909,95.0,0.108,3.52
3813296,NorthEast United,6,0.312,8.0,0.052,1.33
3813297,Bengaluru,39,3.735,83.0,0.096,2.13
3813297,NorthEast United,16,4.104,52.0,0.256,3.25
3813298,East Bengal,20,0.839,39.0,0.042,1.95
3813298,Jamshedpur,47,2.176,122.0,0.046,2.6
3813299,Bengaluru,28,1.516,76.0,0.054,2.71
3813299,Hyderabad,30,1.216,56.0,0.041,1.87
3813300,Kerala Blasters,29,5.763,89.0,0.199,3.07
3813300,Odisha,35,8.081,94.0,0.231,2.69
3813301,NorthEast United,29,2.594,73.0,0.089,2.52
3813301,Odisha,25,1.8150000000000002,53.0,0.073,2.12
3813302,Jamshedpur,61,8.59,148.0,0.141,2.43
3813302,NorthEast United,19,3.16,29.0,0.166,1.53
3813303,ATK Mohun Bagan,7,0.385,12.0,0.055,1.71
3813303,Goa,41,2.011,98.0,0.049,2.39
3813304,East Bengal,9,0.47100000000000003,14.0,0.052,1.56
3813304,Hyderabad,36,3.066,82.0,0.085,2.28
3813305,Hyderabad,33,2.892,69.0,0.088,2.09
3813305,Kerala Blasters,12,1.1099999999999999,18.0,0.092,1.5
3813306,ATK Mohun Bagan,56,10.21,138.0,0.182,2.46
3813306,NorthEast United,45,5.509,121.0,0.122,2.69
3813307,Bengaluru,12,1.434,32.0,0.12,2.67
3813307,Jamshedpur,19,1.134,59.0,0.06,3.11
3813308,Goa,20,2.2520000000000002,104.0,0.113,5.2
3813308,Odisha,24,3.583,75.0,0.149,3.12
3813309,Chennaiyin,17,0.585,46.0,0.034,2.71
3813309,Hyderabad,40,1.887,83.0,0.047,2.08
3813310,East Bengal,24,1.1159999999999999,54.0,0.046,2.25
3813310,Kerala Blasters,37,1.403,129.0,0.038,3.49
3813311,Chennaiyin,8,0.784,19.0,0.098,2.38
