season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2024,3939979,César Saúl Huerta Valera,Mexico,1,0.119,0.119,2.0,21.0,0.51
2023,3920397,José Antonio Miranda Boacho,Equatorial Guinea,1,0.434,0.434,2.0,77.0,0.508
2024,3930160,Ante Budimir,Croatia,1,1.239,0.31,4.0,220.0,0.507
2024,3943077,Miguel Ángel Borja Hernández,Colombia,1,0.107,0.107,3.0,19.0,0.506
2022,3869118,Jack Grealish,England,1,0.146,0.146,2.0,26.0,0.505
2022,3857292,Kai Havertz,Germany,5,1.293,0.185,14.0,231.0,0.504
2024,3941018,Jesús Navas González,Spain,2,0.151,0.05,15.0,27.0,0.503
2022,3857254,Mikkel Damsgaard,Denmark,2,0.868,0.289,4.0,156.0,0.501
2024,3930182,Filip Mladenović,Serbia,1,0.105,0.105,3.0,19.0,0.495
2024,3939983,Raphael Dias Belloli,Brazil,1,0.099,0.099,2.0,18.0,0.493
2024,3930168,Leroy Sané,Germany,3,0.489,0.163,5.0,90.0,0.489
2022,3857293,Rodrigo Bentancur Colmán,Uruguay,2,0.325,0.163,4.0,60.0,0.488
2024,3939974,Yunus Dimoara Musah,United States,5,1.555,0.259,18.0,288.0,0.486
2023,3922242,Idrissa Gueye,Senegal,1,0.182,0.182,2.0,34.0,0.483
2023,3920400,Krépin Diatta,Senegal,2,1.008,0.504,5.0,188.0,0.483
2024,3930165,Marko Arnautović,Austria,1,0.198,0.198,4.0,37.0,0.481
2024,3930165,Gernot Trauner,Austria,1,0.198,0.198,4.0,37.0,0.481
2022,3857260,Carlos Alberto Rodríguez Gómez,Mexico,3,0.407,0.102,6.0,76.0,0.481
2022,3857300,Nicolás Alejandro Tagliafico,Argentina,2,1.121,0.374,6.0,210.0,0.48
2022,3857268,Youri Tielemans,Belgium,1,0.25,0.25,5.0,47.0,0.479
2024,3930181,Trent Alexander-Arnold,England,1,0.047,0.047,4.0,9.0,0.473
2024,3930178,Andrej Kramarić,Croatia,1,0.932,0.466,4.0,178.0,0.471
2023,3922838,Charles Pickel,Congo DR,2,0.701,0.35,2.0,134.0,0.471
2024,3941017,Tomáš Suslov,Slovakia,2,0.574,0.287,8.0,110.0,0.47
2022,3857278,Ali Gholizadeh,Iran,1,0.391,0.391,2.0,75.0,0.47
2024,3930181,Conor Gallagher,England,2,0.438,0.219,6.0,84.0,0.469
2024,3930162,Christian Nørgaard,Denmark,1,0.046,0.046,7.0,9.0,0.461
2023,3920397,Federico Bikoro Akieme Nchama,Equatorial Guinea,1,0.489,0.489,4.0,96.0,0.458
2024,3930165,Patrick Wimmer,Austria,1,0.198,0.198,4.0,39.0,0.456
2022,3857281,Lovro Majer,Croatia,1,0.046,0.046,2.0,9.0,0.456
2022,3857281,Mario Pašalić,Croatia,1,0.046,0.046,6.0,9.0,0.456
2023,3920400,Faris Pemi Moumbagna,Cameroon,1,0.116,0.116,2.0,23.0,0.455
2023,3920411,Carlos Miguel Pereira Fernandes,Cape Verde Islands,1,0.12,0.12,2.0,24.0,0.45
2024,3939975,Damián Josué Bobadilla Benítez,Paraguay,1,0.185,0.185,2.0,37.0,0.45
2023,3920416,Thabang Amod Monare,South Africa,1,0.055,0.055,6.0,11.0,0.449
2023,3920390,Bruno Lourenço Pinto de Almeida Paz,Angola,1,0.194,0.194,2.0,39.0,0.448
2023,3920405,Bilal El Khannous,Morocco,2,0.477,0.159,12.0,96.0,0.447
2024,3930171,Eberechi Eze,England,1,0.114,0.114,2.0,23.0,0.447
2024,3939970,Diego Alfonso Valdés Contreras,Chile,2,0.669,0.223,13.0,135.0,0.446
2024,3930175,Darius Dumitru Olaru,Romania,3,0.384,0.128,6.0,78.0,0.444
2024,3930170,Veljko Birmančević,Serbia,1,0.049,0.049,2.0,10.0,0.443
2024,3943077,Leandro Daniel Paredes,Argentina,2,0.225,0.113,7.0,46.0,0.44
2023,3923880,Yoane Wissa,Congo DR,1,0.307,0.307,1.0,63.0,0.439
2024,3942349,Rúben Diogo Da Silva Neves,Portugal,4,0.506,0.127,22.0,104.0,0.438
2022,3857298,Tariq Lamptey,Ghana,1,0.155,0.155,1.0,32.0,0.437
2024,3930174,Barış Alper Yılmaz,Turkey,1,0.45,0.45,1.0,93.0,0.436
2022,3857255,Junya Ito,Japan,2,0.906,0.453,2.0,188.0,0.434
2023,3920410,Shaquille Momad Nangy,Mozambique,1,0.087,0.043,2.0,18.0,0.433
2023,3920397,Saúl Basilio Coco-Bassey Oubiña,Equatorial Guinea,2,0.923,0.462,5.0,192.0,0.433
2022,3857265,Matty Cash,Poland,1,0.885,0.443,2.0,184.0,0.433
2022,3857288,Mohamed Dräger,Tunisia,1,0.235,0.235,3.0,49.0,0.431
2022,3857293,Luis Alberto Suárez Díaz,Uruguay,3,1.242,0.31,9.0,260.0,0.43
2022,3857277,Marcelo Brozović,Croatia,1,0.448,0.448,9.0,94.0,0.429
2023,3922243,Amine Harit,Morocco,3,0.585,0.195,8.0,123.0,0.428
2022,3857294,Memphis Depay,Netherlands,3,1.232,0.308,11.0,260.0,0.426
2024,3930170,Dušan Vlahović,Serbia,1,0.297,0.297,5.0,63.0,0.425
2024,3930159,Attila Szalai,Hungary,2,0.734,0.367,3.0,156.0,0.424
2023,3920387,Salis Abdul Samed,Ghana,3,0.169,0.056,7.0,36.0,0.423
2022,3857265,Krystian Bielik,Poland,3,0.956,0.239,8.0,204.0,0.422
2024,3942229,Ali Ahmed,Canada,2,0.187,0.094,3.0,40.0,0.421
2024,3938637,Bartosz Slisz,Poland,1,0.173,0.173,1.0,37.0,0.421
2023,3920405,Abdessamad Ezzalzouli,Morocco,2,0.477,0.159,7.0,102.0,0.42
2023,3920395,Meschak Elia,Congo DR,4,0.465,0.116,5.0,100.0,0.418
2023,3920415,Mohamed Youcef Belaïli,Algeria,1,0.361,0.181,6.0,78.0,0.417
2022,3857284,Kaoru Mitoma,Japan,3,0.878,0.176,11.0,190.0,0.416
2023,3920399,Gilson Benchimol Tavares,Cape Verde Islands,1,0.088,0.088,2.0,19.0,0.416
2023,3920407,Sphephelo S''Miso Sithole,South Africa,1,0.317,0.317,1.0,69.0,0.413
2023,3920396,Mahmoud Ibrahim Hassan,Egypt,4,0.641,0.128,19.0,140.0,0.412
2024,3938638,Ruslan Malinovskiy,Ukraine,3,0.151,0.05,14.0,33.0,0.411
2022,3869486,Ricardo Jorge Luz Horta,Portugal,3,0.232,0.077,7.0,51.0,0.41
2024,3941017,Róbert Boženík,Slovakia,2,0.528,0.264,6.0,116.0,0.41
2022,3857256,Xherdan Shaqiri,Switzerland,3,0.926,0.309,8.0,204.0,0.408
