season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2024,Ray Kendry Páez Andrade,Ecuador,4,11,1.66,1.0,-0.66
2024,Nicolás Iván González,Argentina,2,5,0.66,0.0,-0.66
2023,Amadou Haïdara,Mali,3,9,0.67,0.0,-0.67
2022,Ernesto Alexis Vega Rojas,Mexico,3,9,0.69,0.0,-0.69
2023,Amine Adli,Morocco,3,5,0.71,0.0,-0.71
2022,Tajon Buchanan,Canada,3,5,0.71,0.0,-0.71
2023,Fiston Kalala Mayele,Congo DR,3,5,0.71,0.0,-0.71
2023,Jovane Eduardo Borges Cabral,Cape Verde Islands,4,9,0.72,0.0,-0.72
2024,Philip Foden,England,6,13,0.76,0.0,-0.76
2022,Marko Livaja,Croatia,4,7,1.77,1.0,-0.77
2022,Andreas Evald Cornelius,Denmark,3,5,0.8,0.0,-0.8
2024,Orkun Kökçü,Turkey,2,6,0.8,0.0,-0.8
2022,Jonathan David,Canada,2,8,0.81,0.0,-0.81
2024,Giorgi Kochorashvili,Georgia,2,5,0.82,0.0,-0.82
2024,Roland Sallai,Hungary,3,8,0.83,0.0,-0.83
2024,Benjamin Šeško,Slovenia,4,8,0.84,0.0,-0.84
2022,Ismaïla Sarr,Senegal,4,10,1.85,1.0,-0.85
2024,Pedro González López,Spain,3,6,0.85,0.0,-0.85
2024,Rodrygo Silva de Goes,Brazil,3,10,0.9,0.0,-0.9
2022,Raphael Dias Belloli,Brazil,3,8,0.92,0.0,-0.92
2022,Cristiano Ronaldo dos Santos Aveiro,Portugal,5,11,1.94,1.0,-0.94
2024,Memphis Depay,Netherlands,5,18,1.95,1.0,-0.95
2024,Alphonso Davies,Canada,5,8,1.95,1.0,-0.95
2022,Sardar Azmoun,Iran,2,5,0.96,0.0,-0.96
2024,Liam Millar,Canada,4,6,0.96,0.0,-0.96
2024,João Félix Sequeira,Portugal,2,5,0.96,0.0,-0.96
2022,Steven Berghuis,Netherlands,3,6,0.98,0.0,-0.98
2023,Adama Traoré,Mali,3,6,0.98,0.0,-0.98
