season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2022,3857274,Ecuador,Moisés Isaac Caicedo Corozo,26,5.0,7.0,6,26.92,95,24.63
2022,3857269,Switzerland,Fabian Rieder,26,2.0,5.0,1,19.23,58,40.34
2023,3920387,Ghana,Jordan Ayew,26,3.0,6.0,6,23.08,93,25.16
2024,3930165,Austria,Konrad Laimer,26,4.0,6.0,10,23.08,89,26.29
2023,3920396,Egypt,Emam Ashour Metwally Abdelghany,26,5.0,9.0,6,34.62,94,24.89
2022,3857301,Qatar,Assim Omer Al Haj Madibo,26,2.0,8.0,0,30.77,91,25.71
2024,3939992,Costa Rica,Gerald Taylor,26,2.0,6.0,0,23.08,91,25.71
2023,3922240,Congo DR,Gedeon Kalulu Kyatengwa,26,5.0,6.0,3,23.08,129,18.14
2024,3943043,Spain,Daniel Olmo Carvajal,26,6.0,5.0,10,19.23,92,25.43
2024,3939991,Brazil,João Victor Gomes da Silva,26,9.0,5.0,3,19.23,70,33.43
2024,3938643,France,N'Golo Kanté,26,3.0,2.0,9,7.69,60,39.0
2024,3938643,Poland,Sebastian Szymański,26,3.0,3.0,4,11.54,66,35.45
2023,3922242,Senegal,Ismaïla Sarr,26,3.0,6.0,8,23.08,95,24.63
2024,3930160,Spain,Lamine Yamal Nasraoui Ebana,26,0.0,4.0,6,15.38,84,27.86
2023,3920393,Namibia,Ryan Nyambe,26,4.0,9.0,0,34.62,93,25.16
2024,3939982,Uruguay,Manuel Ugarte Ribeiro,26,7.0,13.0,5,50.0,90,26.0
2023,3922242,Senegal,Sadio Mané,26,2.0,3.0,5,11.54,128,18.28
2024,3942227,Switzerland,Breel-Donald Embolo,26,5.0,1.0,15,3.85,108,21.67
2023,3920418,Congo DR,Charles Pickel,26,4.0,4.0,5,15.38,67,34.93
2024,3930171,England,Jude Bellingham,26,3.0,2.0,4,7.69,91,25.71
2024,3930169,Scotland,Che Adams,26,6.0,4.0,13,15.38,89,26.29
2024,3930179,Spain,Martín Zubimendi Ibáñez,26,7.0,5.0,5,19.23,92,25.43
2024,3930181,Slovenia,Erik Janža,26,2.0,2.0,0,7.69,86,27.21
2023,3922241,Mauritania,Bodda Mouhsine,26,8.0,10.0,3,38.46,99,23.64
2023,3920389,Guinea,Aguibou Camara,26,9.0,5.0,7,19.23,95,24.63
2024,3938640,Ukraine,Mykola Shaparenko,26,4.0,2.0,6,7.69,91,25.71
2023,3922658,South Africa,Evidence Makgopa,26,4.0,3.0,10,11.54,102,22.94
2022,3869321,Argentina,Enzo Fernandez,26,3.0,5.0,1,19.23,126,18.57
2023,3922658,South Africa,Teboho Mokoena,26,5.0,6.0,5,23.08,121,19.34
2023,3920397,Guinea-Bissau,Franculino Gluda Djú,26,4.0,3.0,15,11.54,76,30.79
2023,3920386,Nigeria,Ademola Lookman,25,4.0,5.0,8,20.0,95,23.68
2022,3857274,Ecuador,Gonzalo Jordy Plata Jiménez,25,2.0,2.0,10,8.0,89,25.28
2023,3920415,Mauritania,Ibrahima Keita,25,3.0,8.0,0,32.0,101,22.28
2023,3920416,South Africa,Sphephelo S''Miso Sithole,25,3.0,7.0,3,28.0,94,23.94
2024,3930178,Croatia,Marcelo Brozović,25,3.0,3.0,2,12.0,96,23.44
2024,3938643,Poland,Przemysław Frankowski,25,3.0,10.0,2,40.0,88,25.57
2022,3869354,France,Antoine Griezmann,25,6.0,4.0,8,16.0,98,22.96
2024,3930160,Spain,Pedro González López,25,4.0,5.0,12,20.0,58,38.79
