season_name,player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
2022,Craig Goodwin,Australia,5,7.0,1.4,3.0,2.0
2022,Ismaïla Sarr,Senegal,5,7.0,1.4,2.0,3.0
2024,Matheus Luiz Nunes,Portugal,5,7.0,1.4,3.0,2.0
2024,Vitor Machado Ferreira,Portugal,23,32.0,1.39,12.0,2.0
2022,Karim Boudiaf,Qatar,18,25.0,1.39,7.0,1.86
2024,Jorge Luiz Frello Filho,Italy,31,43.0,1.39,17.0,1.94
2024,Andrew Robertson,Scotland,8,11.0,1.38,5.0,2.0
2024,Declan Rice,England,34,47.0,1.38,17.0,2.06
2024,Kevin De Bruyne,Belgium,16,22.0,1.38,11.0,1.64
2024,Callum McGregor,Scotland,8,11.0,1.38,7.0,1.43
2022,Nawaf Shaker Al Abid,Saudi Arabia,8,11.0,1.38,3.0,3.0
2022,Toby Alderweireld,Belgium,21,29.0,1.38,13.0,2.0
2022,Enzo Fernandez,Argentina,13,18.0,1.38,8.0,2.0
2024,Darius Dumitru Olaru,Romania,8,11.0,1.38,3.0,3.0
2024,Florian Grillitsch,Austria,13,18.0,1.38,7.0,1.57
2024,Zeno Debast,Belgium,16,22.0,1.38,14.0,1.57
2024,Vitalii Mykolenko,Ukraine,8,11.0,1.38,3.0,2.67
2022,Ibrahima Konaté,France,24,33.0,1.38,14.0,1.93
2024,Juraj Kucka,Slovakia,8,11.0,1.38,4.0,2.0
2024,Christoph Baumgartner,Austria,13,18.0,1.38,4.0,2.0
2022,Marco Asensio Willemsen,Spain,13,18.0,1.38,4.0,2.25
2024,Jordan Pickford,England,16,22.0,1.38,13.0,1.62
2022,In-Beom Hwang,South Korea,21,29.0,1.38,10.0,2.5
2024,Granit Xhaka,Switzerland,19,26.0,1.37,14.0,1.5
2022,Sergio Busquets i Burgos,Spain,27,37.0,1.37,17.0,1.76
2024,Joachim Andersen,Denmark,22,30.0,1.36,10.0,2.4
2024,Philip Foden,England,14,19.0,1.36,2.0,1.0
2022,Yassine Meriah,Tunisia,11,15.0,1.36,7.0,1.71
2024,Lamine Yamal Nasraoui Ebana,Spain,11,15.0,1.36,3.0,3.0
2022,Vitor Machado Ferreira,Portugal,14,19.0,1.36,5.0,2.6
2022,Raphaël Varane,France,11,15.0,1.36,8.0,1.75
2024,Tomáš Souček,Czech Republic,14,19.0,1.36,6.0,1.33
2024,Piotr Zieliński,Poland,11,15.0,1.36,5.0,2.0
2022,Kléper Laveran Lima Ferreira,Portugal,14,19.0,1.36,8.0,1.88
2022,Krystian Bielik,Poland,14,19.0,1.36,5.0,2.2
2022,David Junior Hoilett,Canada,11,15.0,1.36,6.0,2.0
