season_name,match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
2022,3857265,Poland,Sebastian Szymański,0.0,0.0,17.0,5.0,2.0,3.0,1.0,0.0,3.0,19.0,10.0,2.0,1.0,22.0,0.0,77.27,0.0,4.55,6.45,Balanced Defender
2024,3942752,Spain,Nicholas Williams Arthuer,0.0,1.0,18.0,3.0,0.0,6.0,0.0,0.0,2.0,7.0,7.0,16.0,6.0,22.0,0.0,81.82,4.55,27.27,53.33,Balanced Defender
2023,3920394,Morocco,Youssef En-Nesyri,0.0,0.0,21.0,1.0,2.0,3.0,1.0,0.0,5.0,3.0,8.0,22.0,2.0,22.0,0.0,95.45,0.0,9.09,66.67,Balanced Defender
2024,3930169,Switzerland,Ruben Vargas,0.0,1.0,18.0,3.0,1.0,2.0,1.0,0.0,4.0,5.0,17.0,8.0,1.0,22.0,0.0,81.82,4.55,4.55,26.67,Balanced Defender
2024,3930167,Albania,Qazim Laçi,0.0,1.0,18.0,3.0,3.0,7.0,1.0,1.0,2.0,21.0,8.0,6.0,0.0,22.0,50.0,81.82,4.55,0.0,17.14,Balanced Defender
2022,3869519,Argentina,Leandro Daniel Paredes,0.0,1.0,17.0,4.0,2.0,4.0,1.0,1.0,4.0,17.0,15.0,1.0,1.0,22.0,25.0,77.27,4.55,4.55,3.03,Balanced Defender
2022,3857254,Tunisia,Issam Jebali,0.0,0.0,20.0,2.0,1.0,3.0,2.0,1.0,7.0,7.0,19.0,9.0,1.0,22.0,14.29,90.91,0.0,4.55,25.71,Balanced Defender
2022,3857278,Iran,Mehdi Taremi,0.0,0.0,18.0,4.0,2.0,7.0,3.0,0.0,7.0,14.0,14.0,13.0,1.0,22.0,0.0,81.82,0.0,4.55,31.71,Balanced Defender
2023,3920391,South Africa,Percy Tau,0.0,0.0,20.0,2.0,0.0,2.0,4.0,0.0,4.0,6.0,14.0,12.0,1.0,22.0,0.0,90.91,0.0,4.55,37.5,Balanced Defender
2024,3942226,Spain,Nicholas Williams Arthuer,0.0,0.0,21.0,1.0,0.0,4.0,2.0,0.0,0.0,5.0,7.0,16.0,2.0,22.0,,95.45,0.0,9.09,57.14,Balanced Defender
2023,3920413,Cameroon,Darlin Zidane Yongwa Ngameni,0.0,0.0,18.0,4.0,1.0,2.0,2.0,1.0,2.0,13.0,11.0,5.0,0.0,22.0,50.0,81.82,0.0,0.0,17.24,Balanced Defender
2023,3923881,Nigeria,Ademola Lookman,0.0,0.0,21.0,1.0,0.0,3.0,2.0,1.0,2.0,9.0,12.0,8.0,1.0,22.0,50.0,95.45,0.0,4.55,27.59,Balanced Defender
2022,3869220,Morocco,Hakim Ziyech,0.0,4.0,18.0,0.0,0.0,6.0,4.0,0.0,2.0,12.0,12.0,10.0,3.0,22.0,0.0,81.82,18.18,13.64,29.41,Balanced Defender
2022,3869685,France,Marcus Thuram,0.0,0.0,20.0,2.0,2.0,5.0,2.0,0.0,3.0,9.0,17.0,8.0,1.0,22.0,0.0,90.91,0.0,4.55,23.53,Balanced Defender
2022,3857290,Switzerland,Remo Freuler,0.0,1.0,21.0,0.0,2.0,5.0,2.0,0.0,5.0,18.0,13.0,5.0,2.0,22.0,0.0,95.45,4.55,9.09,13.89,Balanced Defender
