player,finishing_quality,xg_volume,progressive_passes,progressive_carries,packing,xg_chain,team_involvement,xg_buildup,network_centrality,defensive_actions,high_turnovers,pressure_volume,pressure_success,recency_factor,league_mult,finishing_quality_percentile,xg_volume_percentile,progressive_passes_percentile,progressive_carries_percentile,packing_percentile,xg_chain_percentile,team_involvement_percentile,xg_buildup_percentile,network_centrality_percentile,defensive_actions_percentile,high_turnovers_percentile,pressure_volume_percentile,pressure_success_percentile,latest_club,position,Mobility_Intensity,Progression,Control,Final_Third_Output,overall_quality,latest_club_right,position_right
Provat Lakra,0.07932250093618246,0.23,1.7000000000000002,1.11,0.0,0.09171428571428572,25.100714285714286,0.09123076923076923,15.35125,21.499999999999996,0.7,14.276875,37.106875,0.7,1.0,44.768382352941174,7.643382352941177,44.19642857142857,26.71428571428571,33.426199261992615,28.6,34.46666666666667,40.27756653992395,69.15441176470588,61.77906976744186,14.197674418604652,56.00796812749003,91.11155378486055,NorthEast United,Right Back,68.43376146576483,41.37119135477069,40.81866927607545,21.691474264705878,31.672666928851033,NorthEast United,Right Back
Javier Siverio Toro,0.6809357753651113,3.5165,0.754,0.8125,0.0,0.31449736842105264,21.780473684210524,0.10255,4.648630434782609,12.675,0.9750000000000001,10.272068181818183,14.54581818181818,0.7,0.65,85.53308823529412,88.44485294117646,6.285714285714286,18.857142857142858,33.426199261992615,84.33333333333333,26.4,45.92395437262358,7.643382352941177,16.691860465116278,20.912790697674417,31.55378486055777,9.860557768924302,Hyderabad,Right Center Forward,14.007036968405448,16.09038481813389,30.10762630004473,87.7425245098039,31.544118592253454,Hyderabad,Right Center Forward
Sourav Das,0.04262302705488089,0.17,1.57,0.52,0.0,0.08675000000000001,27.337500000000002,0.07457142857142857,18.952222222222222,26.357142857142858,1.7857142857142856,23.162777777777777,30.645555555555553,0.7,1.0,39.30882352941176,3.639705882352941,37.51785714285714,14.142857142857142,33.426199261992615,22.733333333333334,39.233333333333334,28.608365019011405,79.70955882352942,86.72093023255815,56.406976744186046,88.35059760956175,79.2788844621514,East Bengal,Left Defensive Midfield,63.86416687899563,26.078393516078016,59.9690443599493,13.633745098039213,31.534136083285265,East Bengal,Left Defensive Midfield
Sahil Tavora,0.2901996696545752,0.1625,3.0810000000000004,0.7735,0.0,0.18728666666666668,10.246599999999999,0.2680708333333333,5.0245,10.4,0.9099999999999999,14.768000000000002,13.94421052631579,0.7,0.65,64.42279411764706,3.275735294117647,71.89285714285714,18.07142857142857,33.426199261992615,67.10000000000001,1.1,88.46007604562737,9.82720588235294,1.9186046511627908,18.41860465116279,57.9800796812749,5.916334661354582,Hyderabad,Right Defensive Midfield,35.177683162698045,46.99803637322087,61.081664211026606,24.179941176470592,31.365900542301823,Hyderabad,Right Defensive Midfield
Thongkhosiem Haokip,0.629989844627671,0.71,1.06,2.39,0.0,0.11066666666666666,22.263333333333332,0.05225,11.858333333333334,19.000000000000004,1.6666666666666665,12.60909090909091,13.57181818181818,0.7,1.0,82.62132352941177,31.301470588235293,16.303571428571427,58.535714285714285,33.426199261992615,35.93333333333334,27.133333333333333,9.4106463878327,50.22794117647059,52.186046511627914,51.99418604651163,44.96414342629482,4.338645418326694,East Bengal,Right Center Forward,24.020729581673308,28.490851673695307,32.8775631849698,72.82053921568628,31.289761203945677,East Bengal,Right Center Forward
Seminlen Doungel,-0.062461113733574825,1.5275,1.4625000000000001,2.6065,0.0,0.10936249999999999,17.023500000000002,0.06342916666666666,7.043263157894737,14.083333333333334,1.3541666666666667,14.685894736842107,20.826,0.7,0.65,24.75,60.05514705882352,32.21428571428571,63.24999999999999,33.426199261992615,35.2,15.033333333333333,16.939163498098857,24.386029411764703,26.47674418604651,38.75581395348837,57.58565737051793,45.75298804780876,Jamshedpur,Right Wing,52.95280042620216,45.73123879810226,17.029554909416234,54.039117647058816,30.82939512835591,Jamshedpur,Right Wing
Ygor de Oliveira Ferreira,0.6035663992441801,0.9359999999999999,,,0.0,0.19328636363636362,14.310636363636364,0.10156249999999999,3.835590909090909,13.65,3.25,,,0.7,0.65,81.16544117647058,40.036764705882355,,,33.426199261992615,69.66666666666667,6.233333333333334,44.79467680608365,5.823529411764706,24.75,91.90116279069767,,,Mumbai City,Center Forward,36.53982558139534,14.70752767527675,27.781070789532542,75.90269607843136,30.774388045670165,Mumbai City,Center Forward
Francisco José Sota Bernard,-0.07067749906381755,0.68,,,0.0,0.0984,31.688,0.21875,11.886000000000001,21.000000000000004,3.6666666666666665,,,0.7,1.0,24.386029411764703,29.66360294117647,,,33.426199261992615,31.166666666666668,49.13333333333333,82.81368821292776,50.955882352941174,60.24418604651162,94.77906976744187,,,East Bengal,Center Attacking Midfield,50.68186046511628,22.729815498154977,72.44687853202117,30.33829656862745,30.724193784018375,East Bengal,Center Attacking Midfield
Paul Ramfangzauva,0.2803058990079862,0.156,1.7745,0.6825000000000001,0.0,0.19199375000000002,19.686875,0.27798333333333336,5.255,11.700000000000001,1.0833333333333335,16.216,17.375000000000004,0.7,0.65,63.69485294117648,2.547794117647059,47.535714285714285,16.5,33.426199261992615,69.30000000000001,21.633333333333333,89.77756653992395,12.011029411764707,9.784883720930232,26.86046511627907,67.44621513944223,26.8207171314741,Odisha,Right Defensive Midfield,42.773078760539235,32.26589351607802,63.90851608048162,24.825705882352946,30.680809149152523,Odisha,Right Defensive Midfield
Aibanbha Kupar Dohling,0.13887986189126317,0.9799999999999999,1.7000000000000002,1.51,0.0,0.11946666666666665,33.30133333333333,0.1084,16.836875,15.833333333333334,1.0000000000000002,8.380625,28.629375,0.7,1.0,49.5,40.76470588235294,44.19642857142857,37.32142857142857,33.426199261992615,39.6,52.06666666666666,48.18250950570342,75.34191176470588,38.75581395348837,24.174418604651162,17.749003984063744,75.72908366533865,Goa,Left Back,55.029835194107285,42.43190564048497,45.69399056885111,26.20005882352941,30.597663686793243,Goa,Left Back
