team,possession_dominance,territorial_control,possession_efficiency,progression_intensity,progression_method,buildup_complexity,offensive_threat,tempo,press_intensity,defensive_line_height,press_effectiveness,counter_speed
Sunderland,41.59789473684211,25.367631578947368,0.021304628150141565,58.68421052631579,0.48763157894736847,0.10663157894736841,1.1180942746884142,3.4539473684210527,0.09671918348647204,1.3649736842105262,0.4105920943000728,4.058947368421053
Rennes,50.223684210526315,21.252368421052633,0.017877473442542743,81.10526315789474,0.4531578947368421,0.11423684210526316,1.1787427974448197,4.360263157894737,0.10335073977371628,1.4273684210526316,0.3785940260487284,3.3934210526315787
Lyon,61.10921052631579,24.878684210526316,0.017778692704653806,108.63157894736842,0.42257894736842105,0.11757894736842105,1.6201462085415475,5.3276315789473685,0.1655268545541665,1.5323157894736843,0.45556912554958473,3.6142105263157895
Fiorentina,60.40552631578947,22.239736842105263,0.018611941029534212,89.07894736842105,0.4581842105263158,0.09207894736842105,1.416535591381896,5.608421052631579,0.1337321837057892,1.51,0.4094712746549172,3.3255263157894737
AC Milan,52.433157894736844,26.72026315789474,0.020525118964669787,86.92105263157895,0.4764736842105264,0.11210526315789474,1.41304490802347,4.242368421052632,0.13401516487391993,1.4698684210526316,0.4726484886916086,3.716315789473684
Manchester United,58.29157894736842,29.062105263157893,0.014227999955069473,111.71052631578948,0.4614210526315789,0.10105263157894737,1.1104891759367954,5.238684210526316,0.1475957430280432,1.4603684210526315,0.4758709893545745,3.343157894736842
Real Sociedad,51.669210526315794,29.027631578947368,0.01783803068141277,86.02631578947368,0.4436052631578947,0.12889473684210526,1.21295041433462,3.926578947368421,0.14263728839007545,1.4633684210526314,0.4460353185595568,3.5228947368421055
Hertha Berlin,49.82970588235294,19.156764705882352,0.015024569590271148,57.55882352941177,0.4576470588235294,0.13494117647058823,1.0683558064047247,4.559705882352941,0.10078553431154587,1.3786176470588234,0.3640434552199258,3.5179411764705883
Torino,47.63815789473684,19.39578947368421,0.01985516181956883,65.0,0.49455263157894735,0.09442105263157895,1.288740648361119,4.3334210526315795,0.09263096311825074,1.3628947368421052,0.3605164658370818,3.5749999999999997
Lorient,49.01842105263158,20.47,0.01384098168983817,85.44736842105263,0.4529210526315789,0.10897368421052632,1.085182069690506,4.3686842105263155,0.0982242096828392,1.3993947368421054,0.37213245880659096,3.599736842105263
Arsenal,57.521842105263154,28.705,0.025229555760637908,118.10526315789474,0.4317105263157895,0.12992105263157896,1.7141085796634128,5.4594736842105265,0.10375143340796156,1.4295526315789473,0.49868580481239444,3.6489473684210525
Palermo,43.06368421052632,25.867631578947368,0.016360552125580154,70.65789473684211,0.46244736842105266,0.09676315789473684,0.9349387030141723,3.568421052631579,0.10081447483617649,1.3864736842105263,0.4472745853373147,3.486842105263158
Hamburger SV,48.512058823529415,20.158235294117645,0.015261830162762932,60.205882352941174,0.4723823529411765,0.09994117647058824,1.109709574964226,3.935882352941176,0.13158913228578062,1.4208529411764705,0.3703288084464555,4.015
Sevilla,50.24657894736842,26.58763157894737,0.023919981367593462,79.39473684210526,0.4708684210526316,0.13168421052631576,1.6023298307125897,3.952105263157895,0.11721882904559194,1.4347894736842104,0.4632040105917705,3.4936842105263155
AS Monaco,48.61105263157895,24.71578947368421,0.020248631885200916,80.47368421052632,0.4704736842105263,0.13092105263157894,1.4188110977166186,3.897631578947369,0.1271838811165406,1.4858421052631579,0.3974961369871653,3.5539473684210527
OGC Nice,57.57578947368421,17.364473684210527,0.015043547110055424,85.15789473684211,0.46094736842105266,0.11605263157894737,1.2077505302823786,5.573157894736842,0.1066726553069646,1.4266315789473685,0.36324654430836917,3.2273684210526317
Southampton,49.46078947368421,28.60421052631579,0.023669523619693045,86.57894736842105,0.3968947368421053,0.10792105263157895,1.4269278376779861,4.229736842105263,0.11758153351073705,1.412921052631579,0.4703595294637434,3.6989473684210528
Atalanta,48.12736842105263,25.14421052631579,0.015981091845017052,70.94736842105263,0.47010526315789475,0.08410526315789474,1.114785424961347,3.8605263157894734,0.12272316238212118,1.3978684210526315,0.4243251021477483,3.4760526315789475
Troyes,47.68783783783784,23.233513513513515,0.013065756065865537,77.5945945945946,0.4565675675675676,0.07556756756756756,0.8632660034943271,4.153783783783783,0.09196430790644496,1.3718648648648648,0.3714348923871303,3.5862162162162163
Lazio,54.68342105263157,24.14657894736842,0.015897187034588933,91.84210526315789,0.4632368421052632,0.09086842105263157,1.3253484379230558,4.434210526315789,0.14771622934888243,1.524184210526316,0.5012324285721788,3.3194736842105264
Augsburg,46.905,21.360294117647058,0.014087716754024322,55.411764705882355,0.4592941176470588,0.09623529411764706,1.2062914016766144,4.064411764705882,0.10244049412473637,1.355794117647059,0.36759633396003644,3.64
Hoffenheim,46.11941176470588,22.280882352941177,0.021841074066936465,58.64705882352941,0.45805882352941174,0.127,1.2119041720733923,3.95,0.10216346153846154,1.372705882352941,0.3739557953358858,3.7720588235294117
Bayern Munich,70.55588235294118,26.01205882352941,0.01927088056588374,140.2058823529412,0.42964705882352944,0.1196470588235294,2.157456517630421,7.350882352941177,0.1820323375093693,1.6047352941176471,0.5013730136604404,3.2611764705882353
Watford,45.125263157894736,26.167894736842104,0.015223383116466895,60.578947368421055,0.4605263157894737,0.09926315789473683,1.1600564840298735,3.710263157894737,0.11039130813700142,1.3989473684210527,0.45730270906949355,3.7099999999999995
Málaga,48.425526315789476,27.444210526315793,0.01667990817271606,72.5,0.46147368421052637,0.10068421052631579,1.136331979301758,3.6963157894736844,0.13840830449826988,1.4560526315789473,0.4752984058319314,3.7260526315789475
Juventus,55.64894736842105,24.17105263157895,0.022259190702687504,92.73684210526316,0.4523421052631579,0.11081578947368421,1.6231464223972962,5.270263157894737,0.10891060731993923,1.5304736842105264,0.473387681329957,3.3305263157894736
Newcastle United,46.44263157894736,24.255000000000003,0.012610382326881019,73.1842105263158,0.46652631578947373,0.11297368421052632,1.0701404611678107,4.034473684210527,0.09155302847781042,1.3441842105263158,0.39434242855295487,3.6923684210526315
Norwich City,46.48973684210526,29.617105263157896,0.01760277938621888,74.65789473684211,0.4878157894736842,0.10755263157894736,1.023455976569829,3.8728947368421047,0.09877313370763151,1.3767105263157895,0.4209975069774834,3.5531578947368425
Chievo,45.64368421052632,22.568684210526317,0.013793403849085641,69.02631578947368,0.42386842105263156,0.08921052631578948,0.9974932204503076,3.9542105263157894,0.10573765930213144,1.3805,0.36997075600668583,3.317105263157895
