team,possession_dominance,territorial_control,possession_efficiency,progression_intensity,progression_method,buildup_complexity,offensive_threat,tempo,press_intensity,defensive_line_height,press_effectiveness,counter_speed,assigned_archetype,distance_to_center,archetype_name,PC1,PC2,progression_score
Colombia,54.403333333333336,21.885,0.02183723977289271,73.33333333333333,0.437,0.08166666666666667,1.561297007681181,4.915,0.1500750375187594,1.4988333333333335,0.3963274572649572,3.0933333333333333,1,8.961189645100298,Balanced Mainstream,1.712779291453868,-1.9051242972966709,4
Qatar,43.18,16.743333333333336,0.006527841242900973,56.666666666666664,0.4053333333333333,0.07266666666666666,0.46933057252317667,4.746666666666666,0.04906771344455348,1.2633333333333334,0.2871111111111111,3.75,1,14.764992169110014,Balanced Mainstream,-5.135981022413933,-4.3631384730631995,0
Venezuela,53.3825,28.925,0.03419095649200786,59.5,0.391,0.0935,2.5152819777140394,4.5075,0.1472754050073638,1.4865,0.5631679389312977,3.8575,1,13.139416493883132,Balanced Mainstream,4.162617431342575,3.7328124956273,2
Hungary,41.09,19.386666666666667,0.026574541589157584,38.666666666666664,0.4026666666666667,0.164,1.110630671493709,4.45,0.07535795026375282,1.3263333333333334,0.3715816005040958,3.106666666666667,1,31.39757845060851,Balanced Mainstream,-0.8732594297982046,-1.6705609400181003,0
Poland,38.847142857142856,21.035714285714285,0.021383839926683974,37.42857142857143,0.5441428571428572,0.11657142857142858,1.1697654900739767,4.482857142857143,0.06466512702078522,1.3331428571428572,0.32610134963076143,3.6042857142857145,1,32.89614105590245,Balanced Mainstream,-3.8301445615463527,0.023636854450095838,1
Saudi Arabia,44.59,30.636666666666667,0.011151172731665614,55.666666666666664,0.5373333333333333,0.08600000000000001,1.0671830934782822,4.006666666666667,0.13895321908290875,1.327,0.4694656488549618,3.4633333333333334,1,15.51358310780916,Balanced Mainstream,-2.3985220868864126,1.6801266815152491,0
Netherlands,53.29363636363637,23.21909090909091,0.011122908134890542,74.81818181818181,0.39109090909090916,0.1318181818181818,1.4754338160776321,5.702727272727272,0.08694964824915026,1.4359090909090908,0.40106654351937365,3.2427272727272727,1,8.834443945661327,Balanced Mainstream,1.3706749993918212,-2.958282335499676,3
Spain,64.50363636363636,26.10636363636364,0.01807278403023084,123.0,0.4178181818181818,0.09499999999999999,1.6071907123127445,8.072727272727272,0.13947001394700137,1.6530909090909092,0.49593134138588685,3.3018181818181818,2,2.8319967943247475,Elite Attackers,6.288718920628519,-2.0964129615581903,5
Portugal,63.601,26.412,0.025469920024451122,110.0,0.44299999999999995,0.0973,2.2022054838482292,6.739,0.11410314924691922,1.5389,0.48890775325410296,3.1550000000000002,2,11.936826717127696,Elite Attackers,5.455811463372828,-0.9049346361167979,2
Senegal,45.245,30.05,0.020813820376730147,62.0,0.45275,0.07250000000000001,1.0686821177368984,4.5675,0.0924000924000924,1.3785,0.4421875,3.15,1,9.929815283564578,Balanced Mainstream,-0.9792936189870772,-0.010110824260277474,1
Italy,53.485,21.86,0.008485722771437058,69.75,0.35725,0.06475,0.8260620774235576,7.7725,0.061671292013567684,1.4655,0.3644557823129252,2.4575,1,8.094509426922544,Balanced Mainstream,0.8042107301116338,-7.377847838705894,1
