season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2021/2022,3817889,ATK Mohun Bagan,Joni Ensio Kauko,24,9.0,6.0,9,25.0,66,32.73
2022,3857267,Senegal,Idrissa Gana Gueye,24,3.0,5.0,4,20.83,95,22.74
2021/2022,3813282,Mumbai City,Ahmed Jahouh,24,8.0,11.0,1,45.83,94,22.98
2021/2022,3802983,Marseille,Valentin Rongier,24,5.0,7.0,6,29.17,76,28.42
2022,3857278,United States,Yunus Dimoara Musah,24,7.0,6.0,4,25.0,97,22.27
2022,3857263,Germany,Thomas Müller,24,2.0,5.0,19,20.83,69,31.3
2021/2022,3817876,Chennaiyin,Khumanthem Ninthoinganba Meetei,24,8.0,9.0,2,37.5,96,22.5
2021/2022,3817871,Hyderabad,Souvik Chakrabarti,24,5.0,4.0,2,16.67,75,28.8
2021/2022,3817855,ATK Mohun Bagan,Liston Colaco,24,4.0,6.0,10,25.0,92,23.48
2021/2022,3802984,Nantes,Marcus Coco,24,2.0,3.0,7,12.5,76,28.42
2022,3857262,South Korea,Jae-Sung Lee,24,6.0,3.0,4,12.5,64,33.75
2021/2022,3817897,Kerala Blasters,Sahal Abdul Samad,24,3.0,5.0,4,20.83,77,28.05
2021/2022,3817897,Kerala Blasters,Chencho Gyeltshen,24,6.0,5.0,10,20.83,77,28.05
2021/2022,3802837,Saint-Étienne,Yvann Macon,24,5.0,7.0,6,29.17,85,25.41
2022,3857274,Netherlands,Teun Koopmeiners,24,6.0,7.0,2,29.17,79,27.34
2021/2022,3817893,East Bengal,Lalrinliana Hnamte,24,8.0,6.0,11,25.0,56,38.57
2021/2022,3817892,Odisha,Jerry Mawihmingthanga,24,5.0,5.0,4,20.83,96,22.5
2022,3857276,Morocco,Sofiane Boufal,24,3.0,6.0,2,25.0,64,33.75
2021/2022,3802837,Saint-Étienne,Adil Aouchiche,24,8.0,3.0,6,12.5,47,45.96
2021/2022,3802839,Paris Saint-Germain,Idrissa Gana Gueye,24,7.0,9.0,5,37.5,80,27.0
2021/2022,3813298,Jamshedpur,Seminlen Doungel,24,8.0,8.0,10,33.33,75,28.8
2021/2022,3802983,Paris Saint-Germain,Nuno Mendes,24,2.0,4.0,5,16.67,95,22.74
2021/2022,3817878,Hyderabad,Hitesh Sharma,24,4.0,10.0,1,41.67,80,27.0
2022,3869684,Croatia,Mislav Oršić,24,9.0,5.0,7,20.83,93,23.23
2021/2022,3817855,Kerala Blasters,Sahal Abdul Samad,24,3.0,3.0,6,12.5,76,28.42
2022,3857283,Morocco,Hakim Ziyech,24,5.0,7.0,8,29.17,94,22.98
2021/2022,3802837,Paris Saint-Germain,Idrissa Gana Gueye,24,4.0,5.0,9,20.83,74,29.19
2021/2022,3817902,East Bengal,Lalrinliana Hnamte,23,7.0,8.0,4,34.78,73,28.36
2022,3857294,Qatar,Assim Omer Al Haj Madibo,23,4.0,5.0,0,21.74,62,33.39
2021/2022,3817875,Jamshedpur,Alexandre Monteiro de Lima,23,4.0,8.0,2,34.78,72,28.75
2021/2022,3817883,Bengaluru,Danish Farooq Bhat,23,8.0,8.0,7,34.78,66,31.36
2021/2022,3827767,Kerala Blasters,Jeakson Singh Thaunaojam,23,5.0,7.0,3,30.43,128,16.17
2021/2022,3813305,Kerala Blasters,Adrián Nicolás Luna Retamar,23,2.0,6.0,7,26.09,87,23.79
2021/2022,3813272,Hyderabad,Hitesh Sharma,23,5.0,2.0,3,8.7,71,29.15
2021/2022,3813306,ATK Mohun Bagan,Hugo Adnan Boumous,23,8.0,7.0,6,30.43,82,25.24
2021/2022,3802809,Rennes,Jonas Martin,23,2.0,5.0,5,21.74,74,27.97
2021/2022,3817851,Kerala Blasters,Sahal Abdul Samad,23,3.0,8.0,9,34.78,69,30.0
2021/2022,3813318,NorthEast United,Rochharzela Rochharzela,23,10.0,2.0,13,8.7,46,45.0
2021/2022,3817871,Hyderabad,Joel Joseph Chianese,23,3.0,2.0,6,8.7,84,24.64
2021/2022,3802802,Paris Saint-Germain,Mauro Emanuel Icardi Rivero,23,5.0,1.0,16,4.35,91,22.75
2021/2022,3817877,NorthEast United,Suhair Vadakkepeedika,23,5.0,8.0,7,34.78,93,22.26
