season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2021/2022,Moirangthem Thoiba Singh,Odisha,5,5,0.08,0.0,-0.08
2021/2022,Terem Igobor Moffi,Lorient,2,7,1.08,1.0,-0.08
2022,Ahmad Nourollahi,Iran,2,5,0.08,0.0,-0.08
2022,Daniel Olmo Carvajal,Spain,4,12,1.08,1.0,-0.08
2021/2022,Lalrinliana Hnamte,East Bengal,10,14,1.09,1.0,-0.09
2021/2022,Keisham Reagan Singh,Chennaiyin,5,6,0.09,0.0,-0.09
2021/2022,Ayush Adhikari,Kerala Blasters,7,10,1.09,1.0,-0.09
2021/2022,Soraisham Sandeep Singh,Kerala Blasters,3,5,0.1,0.0,-0.1
2021/2022,Presnel Kimpembe,Paris Saint-Germain,6,6,1.1,1.0,-0.1
2022,Federico Santiago Valverde Dipetta,Uruguay,3,7,0.12,0.0,-0.12
2022,Kang-In Lee,South Korea,3,5,0.12,0.0,-0.12
2022,Neymar da Silva Santos Junior,Brazil,3,12,2.13,2.0,-0.13
2022,İlkay Gündoğan,Germany,1,6,1.13,1.0,-0.13
2022,Luka Modrić,Croatia,6,7,1.13,1.0,-0.13
2021/2022,Asish Rai,Hyderabad,8,10,0.14,0.0,-0.14
2022,Christian Pulisic,United States,3,9,1.14,1.0,-0.14
2021/2022,Rahim Ali,Chennaiyin,10,20,2.14,2.0,-0.14
2022,Antony Matheus dos Santos,Brazil,4,6,0.15,0.0,-0.15
2021/2022,Amarjit Singh Kiyam Singh,East Bengal,5,5,0.16,0.0,-0.16
2021/2022,Nuno Mendes,Paris Saint-Germain,6,6,0.16,0.0,-0.16
2021/2022,Sourav Das,East Bengal,9,10,0.17,0.0,-0.17
2021/2022,Nerijus Valskis,Jamshedpur,5,17,2.17,2.0,-0.17
2021/2022,Jerry Lalrinzuala,Chennaiyin,5,6,0.17,0.0,-0.17
2021/2022,Lenny Rodrigues,ATK Mohun Bagan,6,7,0.17,0.0,-0.17
2022,Kevin De Bruyne,Belgium,3,7,0.18,0.0,-0.18
2021/2022,Germanpreet Singh,Chennaiyin,7,13,1.18,1.0,-0.18
2021/2022,Hira Mondal,East Bengal,5,8,0.18,0.0,-0.18
2022,Wataru Endo,Japan,2,6,0.18,0.0,-0.18
2022,Aurélien Djani Tchouaméni,France,6,7,1.18,1.0,-0.18
2022,Memphis Depay,Netherlands,3,10,1.18,1.0,-0.18
2021/2022,Achraf Hakimi Mouh,Paris Saint-Germain,9,9,1.19,1.0,-0.19
2021/2022,Laldinliana Renthlei,Jamshedpur,7,7,0.19,0.0,-0.19
2022,Pierre Kunde Malong,Cameroon,2,5,0.19,0.0,-0.19
2022,Nikola Vlašić,Croatia,5,7,2.2,2.0,-0.2
2022,In-Beom Hwang,South Korea,4,6,0.2,0.0,-0.2
2021/2022,Manvir Singh,ATK Mohun Bagan,18,46,6.21,6.0,-0.21
2021/2022,Pragyan Sundar Gogoi,NorthEast United,6,7,0.22,0.0,-0.22
2022,Pedro Guilherme Abreu dos Santos,Brazil,2,5,1.22,1.0,-0.22
2021/2022,Provat Lakra,NorthEast United,5,8,0.23,0.0,-0.23
2022,Azzedine Ounahi,Morocco,3,6,0.24,0.0,-0.24
2022,Hirving Rodrigo Lozano Bahena,Mexico,3,6,0.24,0.0,-0.24
2022,Sergino Dest,United States,4,6,0.25,0.0,-0.25
2022,Philip Foden,England,2,6,1.25,1.0,-0.25
2022,Éder Gabriel Militão,Brazil,3,5,0.26,0.0,-0.26
2022,Abdelkarim Hassan Al Haj Fadlalla,Qatar,3,6,0.27,0.0,-0.27
2022,Carlos Soler Barragán,Spain,2,5,1.27,1.0,-0.27
2021/2022,Jessel Carneiro,Kerala Blasters,6,6,0.29,0.0,-0.29
2021/2022,Princeton Rebello,Goa,8,13,0.29,0.0,-0.29
2021/2022,Deepak Tangri,ATK Mohun Bagan,10,12,0.29,0.0,-0.29
2022,Granit Xhaka,Switzerland,3,6,0.3,0.0,-0.3
2021/2022,Nishu Kumar Tashni,Kerala Blasters,7,11,1.3,1.0,-0.3
2021/2022,Ludovic Blas,Nantes,2,7,1.31,1.0,-0.31
2021/2022,Ashutosh Mehta,ATK Mohun Bagan,6,7,0.31,0.0,-0.31
