season_name,player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
2022/2023,Danilo Luís Hélio Pereira,Paris Saint-Germain,86,0.0,0.0,21.0,0.0
2023,Boubakar Kouyate,Mali,47,0.0,0.0,14.0,0.0
2023,Fafà Picault,Nashville SC,13,0.0,0.0,2.0,0.0
2023,Mohamed Hany Gamal Eldemerdash,Egypt,56,0.0,0.0,18.0,0.0
2022/2023,Marco Verratti,Paris Saint-Germain,110,0.0,0.0,33.0,0.0
2022/2023,Vitor Machado Ferreira,Paris Saint-Germain,42,0.0,0.0,7.0,0.0
2022/2023,Vitor Machado Ferreira,Paris Saint-Germain,54,0.0,0.0,5.0,0.0
2022/2023,Marco Verratti,Paris Saint-Germain,54,0.0,0.0,12.0,0.0
2023,Kamal Miller,Inter Miami,55,0.0,0.0,23.0,0.0
2022/2023,Angel Gomes,Lille,29,0.0,0.0,6.0,0.0
2022/2023,Abdoulaye Bamba,Angers,29,0.0,0.0,7.0,0.0
2023,Alfons Amade,Mozambique,33,0.0,0.0,8.0,0.0
2023,Abdoulaye Touré,Guinea,52,0.0,0.0,15.0,0.0
2022/2023,Marshall Nyasha Munetsi,Stade de Reims,21,0.0,0.0,5.0,0.0
2023,Ibrahim Sangaré,Côte d'Ivoire,33,0.0,0.0,7.0,0.0
2022/2023,Sergio Ramos García,Paris Saint-Germain,120,0.0,0.0,38.0,0.0
2023,Emmanuel Justine Rabby Banda,Zambia,49,0.0,0.0,14.0,0.0
2023,Mohamed Hamdy Sharaf,Egypt,53,0.0,0.0,16.0,0.0
2023,Bakari Nondo Mwamnyeto,Tanzania,50,0.0,0.0,19.0,0.0
2022/2023,Vitor Machado Ferreira,Paris Saint-Germain,65,0.0,0.0,20.0,0.0
2022/2023,Junior Castello Lukeba,Lyon,32,0.0,0.0,8.0,0.0
2023,Chancel Mbemba Mangulu,Congo DR,45,0.0,0.0,15.0,0.0
2023,Christian Kouamé,Côte d'Ivoire,11,0.0,0.0,5.0,0.0
2023,José Ndong Machín Dicombo,Equatorial Guinea,22,0.0,0.0,5.0,0.0
2023,Hamdi Fathi,Egypt,42,0.0,0.0,12.0,0.0
2022/2023,Kylian Mbappé Lottin,Paris Saint-Germain,26,0.0,0.0,9.0,0.0
2023,Karol Świderski,Charlotte,19,0.0,0.0,4.0,0.0
2022/2023,Renato Júnior Luz Sanches,Paris Saint-Germain,9,0.0,0.0,1.0,0.0
2023,Facundo Farías,Inter Miami,62,0.0,0.0,15.0,0.0
2022/2023,Lionel Andrés Messi Cuccittini,Paris Saint-Germain,43,0.0,0.0,10.0,0.0
2023,Mohamed Hany Gamal Eldemerdash,Egypt,31,0.0,0.0,10.0,0.0
