season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2023,3920399,Gilson Benchimol Tavares,Cape Verde Islands,1,0.088,0.088,2.0,19.0,0.416
2023,3920407,Sphephelo S''Miso Sithole,South Africa,1,0.317,0.317,1.0,69.0,0.413
2023,3920396,Mahmoud Ibrahim Hassan,Egypt,4,0.641,0.128,19.0,140.0,0.412
2022/2023,3838017,Mateusz Wieteska,Clermont Foot,5,2.101,0.42,13.0,460.0,0.411
2023,3877170,Aaron Salem Boupendza Pozzi,Cincinnati,2,0.679,0.226,3.0,150.0,0.408
2022/2023,3837662,Marco Verratti,Paris Saint-Germain,6,1.667,0.278,22.0,372.0,0.403
2022/2023,3837818,Carlos Soler Barragán,Paris Saint-Germain,2,0.117,0.058,4.0,26.0,0.403
2023,3920400,Nicolas Jackson,Senegal,1,0.071,0.071,2.0,16.0,0.4
2022/2023,3837752,Carlos Soler Barragán,Paris Saint-Germain,4,1.223,0.306,13.0,276.0,0.399
2023,3920413,Alieu Fadera,Gambia,3,0.398,0.133,9.0,90.0,0.398
2023,3922239,François Kamano,Guinea,1,0.079,0.079,2.0,18.0,0.397
2023,3920387,Antoine Semenyo,Ghana,1,0.528,0.264,4.0,120.0,0.396
2022/2023,3838004,Gianluigi Donnarumma,Paris Saint-Germain,1,0.381,0.381,3.0,87.0,0.395
2023,3920394,Bilal El Khannous,Morocco,1,0.097,0.097,2.0,22.0,0.395
2022/2023,3838017,Maximiliano Caufriez,Clermont Foot,4,1.504,0.376,18.0,344.0,0.394
2022/2023,3838017,Maxime Gonalons,Clermont Foot,5,1.503,0.301,19.0,345.0,0.392
2023,3920387,Ransford Königsdörffer,Ghana,1,0.528,0.264,2.0,122.0,0.39
2023,3920388,Abdoulaye Seck,Senegal,1,0.051,0.051,2.0,12.0,0.386
2022/2023,3837876,Warren Zaire Emery,Paris Saint-Germain,2,0.145,0.072,4.0,34.0,0.383
2022/2023,3837963,Ayman Kari,Lorient,3,0.447,0.149,7.0,105.0,0.383
2022/2023,3837680,Aleksandr Golovin,AS Monaco,1,0.268,0.268,1.0,63.0,0.383
2023,3922658,Thapelo Maseko,South Africa,1,0.611,0.204,6.0,144.0,0.382
2022/2023,3837839,Mitchell van Bergen,Stade de Reims,1,0.046,0.046,3.0,11.0,0.379
2023,3920419,Amine Adli,Morocco,3,0.807,0.202,17.0,192.0,0.378
2022/2023,3837987,El Chadaille Bitshiabu,Paris Saint-Germain,1,0.075,0.075,3.0,18.0,0.377
