season_name,match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
2022/2023,3837918,Rennes,Benjamin Bourigeaud,0.0,3.0,36.0,3.0,1.0,9.0,1.0,1.0,3.0,17.0,27.0,12.0,2.0,42.0,33.33,85.71,7.14,4.76,21.43,Balanced Defender
2022/2023,3837885,Paris Saint-Germain,Vitor Machado Ferreira,0.0,1.0,36.0,5.0,1.0,4.0,1.0,0.0,4.0,17.0,24.0,11.0,0.0,42.0,0.0,85.71,2.38,0.0,21.15,Balanced Defender
2022/2023,3837954,Angers,Adrien Hunou,0.0,1.0,36.0,4.0,0.0,3.0,2.0,0.0,0.0,15.0,19.0,12.0,0.0,41.0,,87.8,2.44,0.0,26.09,Balanced Defender
2022/2023,3837963,Lorient,Laurent Abergel,0.0,4.0,35.0,2.0,2.0,3.0,1.0,1.0,5.0,27.0,22.0,3.0,0.0,41.0,20.0,85.37,9.76,0.0,5.77,Balanced Defender
2022/2023,3837947,Paris Saint-Germain,Carlos Soler Barragán,0.0,0.0,39.0,2.0,1.0,2.0,5.0,0.0,5.0,15.0,24.0,15.0,1.0,41.0,0.0,95.12,0.0,2.44,27.78,Balanced Defender
2023,3922237,Angola,Deivi Miguel Vieira,0.0,3.0,38.0,0.0,0.0,2.0,0.0,1.0,1.0,20.0,13.0,11.0,1.0,41.0,100.0,92.68,7.32,2.44,25.0,Dominant Duelist
2022/2023,3837928,Paris Saint-Germain,Vitor Machado Ferreira,0.0,3.0,35.0,3.0,0.0,7.0,3.0,0.0,2.0,4.0,30.0,19.0,7.0,41.0,0.0,85.37,7.32,17.07,35.85,Balanced Defender
2022/2023,3837717,Lyon,Maxence Caqueret,0.0,4.0,35.0,1.0,3.0,4.0,3.0,3.0,6.0,19.0,26.0,11.0,2.0,40.0,50.0,87.5,10.0,5.0,19.64,Balanced Defender
2022/2023,3838004,Strasbourg,Morgan Sanson,0.0,2.0,36.0,2.0,0.0,1.0,1.0,1.0,4.0,14.0,23.0,9.0,1.0,40.0,25.0,90.0,5.0,2.5,19.57,Balanced Defender
2022/2023,3837680,Paris Saint-Germain,Marco Verratti,0.0,1.0,35.0,3.0,0.0,7.0,1.0,3.0,7.0,19.0,28.0,7.0,0.0,39.0,42.86,89.74,2.56,0.0,12.96,Balanced Defender
2023,3920403,Angola,Manuel Luís da Silva Cafumana,0.0,2.0,32.0,5.0,2.0,5.0,5.0,0.0,4.0,17.0,34.0,4.0,1.0,39.0,0.0,82.05,5.13,2.56,7.27,Balanced Defender
2022/2023,3837706,Stade Brestois,Haris Belkebla,0.0,5.0,32.0,1.0,1.0,4.0,1.0,1.0,3.0,14.0,29.0,4.0,1.0,38.0,33.33,84.21,13.16,2.63,8.51,Balanced Defender
2022/2023,3837683,Toulouse,Stijn Spierings,0.0,2.0,33.0,3.0,1.0,5.0,4.0,3.0,4.0,21.0,23.0,8.0,3.0,38.0,75.0,86.84,5.26,7.89,15.38,Dominant Duelist
2022/2023,3838017,Clermont Foot,Elbasan Rashani,0.0,0.0,37.0,0.0,1.0,4.0,3.0,0.0,5.0,11.0,14.0,25.0,3.0,37.0,0.0,100.0,0.0,8.11,50.0,Balanced Defender
2023,3922659,Mali,Kamory Doumbia,0.0,1.0,34.0,2.0,0.0,3.0,5.0,0.0,5.0,10.0,19.0,21.0,2.0,37.0,0.0,91.89,2.7,5.41,42.0,Balanced Defender
2023,3920391,Mali,Kamory Doumbia,0.0,0.0,35.0,2.0,0.0,8.0,1.0,1.0,6.0,5.0,30.0,17.0,5.0,37.0,16.67,94.59,0.0,13.51,32.69,Balanced Defender
2023,3920393,Namibia,Prins Menelik Tjiueza,0.0,0.0,35.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,18.0,19.0,0.0,37.0,0.0,94.59,0.0,0.0,45.24,Balanced Defender
