team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Congo DR,Silas Katompa Mvumpa,248.0,4.0,15.0,13.0,1.45,5.44,4.72,11.61,Ball Carrier
OGC Nice,Aaron Ramsey,140.0,9.0,6.0,3.0,5.79,3.86,1.93,11.58,Complete Progressor
Paris Saint-Germain,Renato Júnior Luz Sanches,682.0,40.0,26.0,20.0,5.28,3.43,2.64,11.350000000000001,Complete Progressor
Gambia,Yankuba Minteh,215.0,3.0,13.0,11.0,1.26,5.44,4.6,11.3,Ball Carrier
Egypt,Ahmed Mohamed Abo El Fotouh Mohamed,96.0,2.0,5.0,5.0,1.88,4.69,4.69,11.260000000000002,Ball Carrier
Guinea-Bissau,José Correia,56.0,1.0,2.0,4.0,1.61,3.21,6.43,11.25,Ball Carrier
AC Ajaccio,Bevic Moussiti-Oko,56.0,0.0,2.0,5.0,0.0,3.21,8.04,11.25,Ball Carrier
Lille,Jonathan David,184.0,2.0,8.0,13.0,0.98,3.91,6.36,11.25,Ball Carrier
Morocco,Achraf Hakimi Mouh,386.0,16.0,12.0,20.0,3.73,2.8,4.66,11.19,Progressive Passer
Morocco,Amine Adli,153.0,2.0,7.0,10.0,1.18,4.12,5.88,11.18,Ball Carrier
Auxerre,Nuno Miguel da Costa Jóia,114.0,2.0,4.0,8.0,1.58,3.16,6.32,11.06,Ball Carrier
Congo DR,Yoane Wissa,571.0,10.0,27.0,33.0,1.58,4.26,5.2,11.04,Ball Carrier
Angers,Adrien Hunou,147.0,7.0,7.0,4.0,4.29,4.29,2.45,11.030000000000001,Complete Progressor
Clermont Foot,Elbasan Rashani,172.0,4.0,8.0,9.0,2.09,4.19,4.71,10.99,Ball Carrier
Mozambique,Elias Gaspar Pelembe,115.0,3.0,3.0,8.0,2.35,2.35,6.26,10.96,Progression Outlet
Paris Saint-Germain,Hugo Ekitike,780.0,19.0,27.0,49.0,2.19,3.12,5.65,10.96,Ball Carrier
Stade Brestois,Romain Del Castillo,74.0,3.0,4.0,2.0,3.65,4.86,2.43,10.94,Complete Progressor
Lyon,Mateus Cardoso Lemos Martins,74.0,2.0,5.0,2.0,2.43,6.08,2.43,10.94,Ball Carrier
Guinea,Naby Deco Keïta,190.0,10.0,9.0,4.0,4.74,4.26,1.89,10.89,Complete Progressor
Tunisia,Sayfallah Ltaief,58.0,1.0,2.0,4.0,1.55,3.1,6.21,10.86,Ball Carrier
Inter Miami,Noah Allen,317.0,7.0,16.0,15.0,1.99,4.54,4.26,10.79,Ball Carrier
Toulouse,Branco van den Boomen,167.0,14.0,3.0,3.0,7.54,1.62,1.62,10.780000000000001,Progressive Passer
Côte d'Ivoire,Oumar Diakité,234.0,3.0,8.0,17.0,1.15,3.08,6.54,10.77,Ball Carrier
Angers,Nabil Bentaleb,92.0,9.0,2.0,0.0,8.8,1.96,0.0,10.760000000000002,Progressive Passer
LAFC,Carlos Alberto Vela Garrido,92.0,1.0,3.0,7.0,0.98,2.93,6.85,10.76,Ball Carrier
Cincinnati,Santiago Arias Naranjo,92.0,5.0,3.0,3.0,4.89,2.93,2.93,10.75,Complete Progressor
LAFC,Ryan Hollingshead,92.0,3.0,4.0,4.0,2.93,3.91,3.91,10.75,Ball Carrier
Egypt,Emam Ashour Metwally Abdelghany,218.0,13.0,9.0,4.0,5.37,3.72,1.65,10.74,Complete Progressor
Marseille,Valentin Rongier,185.0,9.0,6.0,7.0,4.38,2.92,3.41,10.71,Progressive Passer
Toulouse,Fares Chaïbi,118.0,4.0,4.0,6.0,3.05,3.05,4.58,10.68,Complete Progressor
