season_name,match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
2023/2024,3895194,Bayer Leverkusen,26.0,1.769,42.31,38.46,19.23,Balanced,11.0,10.0,5.0
2023/2024,3895202,Bayer Leverkusen,51.0,1.51,58.82,31.37,9.8,Low Block,30.0,16.0,5.0
2023/2024,3895202,RB Leipzig,56.0,1.482,62.5,26.79,10.71,Low Block,35.0,15.0,6.0
2023/2024,3895210,Bayer Leverkusen,25.0,1.8,52.0,16.0,32.0,High Press,13.0,4.0,8.0
2023/2024,3895210,Borussia Mönchengladbach,102.0,1.127,91.18,4.9,3.92,Low Block,93.0,5.0,4.0
2023/2024,3895220,Bayer Leverkusen,42.0,1.548,57.14,30.95,11.9,Low Block,24.0,13.0,5.0
2023/2024,3895220,Darmstadt 98,59.0,1.39,66.1,28.81,5.08,Low Block,39.0,17.0,3.0
2023/2024,3895232,Bayer Leverkusen,60.0,1.283,73.33,25.0,1.67,Low Block,44.0,15.0,1.0
2023/2024,3895232,Bayern Munich,31.0,1.677,51.61,29.03,19.35,Low Block,16.0,9.0,6.0
2023/2024,3895244,Bayer Leverkusen,52.0,1.327,73.08,21.15,5.77,Low Block,38.0,11.0,3.0
2023/2024,3895244,FC Heidenheim,71.0,1.493,64.79,21.13,14.08,Low Block,46.0,15.0,10.0
2023/2024,3895250,Bayer Leverkusen,36.0,1.5,58.33,33.33,8.33,Low Block,21.0,12.0,3.0
2023/2024,3895250,FSV Mainz 05,74.0,1.446,64.86,25.68,9.46,Low Block,48.0,19.0,7.0
2023/2024,3895258,Bayer Leverkusen,24.0,1.958,37.5,29.17,33.33,High Press,9.0,7.0,8.0
2023/2024,3895258,FC Köln,59.0,1.102,91.53,6.78,1.69,Low Block,54.0,4.0,1.0
2023/2024,3895266,Bayer Leverkusen,24.0,2.042,37.5,20.83,41.67,High Press,9.0,5.0,10.0
2023/2024,3895266,Wolfsburg,57.0,1.123,89.47,8.77,1.75,Low Block,51.0,5.0,1.0
2023/2024,3895275,Bayer Leverkusen,41.0,1.439,65.85,24.39,9.76,Low Block,27.0,10.0,4.0
2023/2024,3895275,Freiburg,46.0,1.348,71.74,21.74,6.52,Low Block,33.0,10.0,3.0
