season_name,match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
2023/2024,3895250,Bayer Leverkusen,Edmond Fayçal Tapsoba,79.0,74.0,153.0,12,9,21,24.6
2023/2024,3895302,Bayer Leverkusen,Edmond Fayçal Tapsoba,81.0,71.0,152.0,12,11,23,26.03
2025,3998855,Spain Women's,Leila Ouahabi El Ouahabi,76.0,76.0,152.0,11,11,22,20.03
2024,3942349,Portugal,Bernardo Mota Veiga de Carvalho e Silva,77.0,75.0,152.0,12,12,24,18.12
2025,3998847,Spain Women's,Laia Aleixandri López,80.0,72.0,152.0,13,9,22,21.62
2023/2024,3895333,Eintracht Frankfurt,Robin Koch,75.0,77.0,152.0,11,9,20,31.93
2023/2024,3895275,Bayer Leverkusen,Josip Stanišić,77.0,75.0,152.0,12,11,23,21.9
2024,3930176,Germany,Antonio Rüdiger,79.0,73.0,152.0,11,10,21,25.08
2024,3930162,Denmark,Pierre-Emile Højbjerg,78.0,74.0,152.0,9,10,19,24.88
2025,4020077,Spain Women's,Aitana Bonmati Conca,70.0,82.0,152.0,12,9,21,22.22
2024,3942752,Spain,Aymeric Laporte,77.0,74.0,151.0,11,10,21,31.92
2023/2024,3895202,Bayer Leverkusen,Jonathan Tah,80.0,71.0,151.0,9,7,16,25.25
2023/2024,3895167,VfB Stuttgart,Waldemar Anton,77.0,74.0,151.0,12,11,23,28.6
2024,3941017,England,Kyle Walker,78.0,73.0,151.0,12,12,24,20.49
2023/2024,3895067,Bayer Leverkusen,Exequiel Alejandro Palacios,75.0,76.0,151.0,8,9,17,20.43
2024,3930171,Denmark,Pierre-Emile Højbjerg,74.0,77.0,151.0,13,13,26,30.51
2023/2024,3895194,Bayer Leverkusen,Alejandro Grimaldo García,75.0,75.0,150.0,10,11,21,19.82
2024,3930183,Slovakia,Milan Škriniar,78.0,72.0,150.0,9,9,18,39.06
2025,4020005,England Women's,Alex Greenwood,85.0,65.0,150.0,14,12,26,27.17
2024,3939986,Argentina,Nicolás Alejandro Tagliafico,82.0,68.0,150.0,12,12,24,25.25
2024,3939986,Argentina,Nicolás Hernán Otamendi,79.0,71.0,150.0,12,11,23,25.25
2023/2024,3895309,Borussia Dortmund,Nico Schlotterbeck,79.0,70.0,149.0,13,12,25,33.63
2025,4018356,Spain Women's,Aitana Bonmati Conca,69.0,80.0,149.0,13,13,26,24.07
2023/2024,3895134,Hoffenheim,Kevin Vogt,75.0,74.0,149.0,13,11,24,33.33
2024,3941019,France,Theo Bernard François Hernández,80.0,69.0,149.0,8,8,16,25.34
2024,3930172,Spain,Aymeric Laporte,76.0,72.0,148.0,9,10,19,26.24
2024,3938640,Slovakia,Denis Vavro,75.0,73.0,148.0,11,9,20,28.24
2024,3941022,Austria,Kevin Danso,82.0,66.0,148.0,13,9,22,29.13
2023/2024,3895250,Bayer Leverkusen,Robert Andrich,75.0,73.0,148.0,13,12,25,23.79
2024,3930178,Italy,Nicolò Barella,76.0,71.0,147.0,12,14,26,28.38
2025,4018356,Spain Women's,Irene Paredes Hernandez,79.0,68.0,147.0,11,11,22,23.75
2023/2024,3895095,Bayer Leverkusen,Edmond Fayçal Tapsoba,76.0,71.0,147.0,11,9,20,26.68
2023/2024,3895194,Bayer Leverkusen,Piero Martín Hincapié Reyna,74.0,73.0,147.0,8,9,17,19.42
2023/2024,3895134,Bayer Leverkusen,Exequiel Alejandro Palacios,77.0,70.0,147.0,12,12,24,28.77
2023/2024,3895275,Bayer Leverkusen,Florian Wirtz,67.0,80.0,147.0,11,12,23,21.18
2023/2024,3895292,Bayer Leverkusen,Alejandro Grimaldo García,71.0,75.0,146.0,10,12,22,23.36
2023/2024,3895210,Bayer Leverkusen,Jonas Hofmann,70.0,76.0,146.0,9,11,20,16.06
2024,3943077,Colombia,Davinson Sánchez Mina,70.0,76.0,146.0,12,13,25,26.35
2024,3930178,Italy,Jorge Luiz Frello Filho,74.0,71.0,145.0,12,10,22,27.99
2023/2024,3895202,Bayer Leverkusen,Piero Martín Hincapié Reyna,72.0,73.0,145.0,9,8,17,24.25
2025,3998839,Spain Women's,Olga  Carmona García,74.0,71.0,145.0,10,10,20,25.62
2025,3998858,England Women's,Keira Walsh,72.0,73.0,145.0,15,12,27,20.92
2023/2024,3895060,Bayer Leverkusen,Edmond Fayçal Tapsoba,80.0,65.0,145.0,12,9,21,22.17
2024,3930168,Germany,Joshua Kimmich,75.0,70.0,145.0,13,13,26,21.08
2023/2024,3895153,Bayer Leverkusen,Piero Martín Hincapié Reyna,76.0,68.0,144.0,11,9,20,21.33
2025,4020846,Spain Women's,María Francesca Caldentey Oliver,66.0,78.0,144.0,12,12,24,20.6
2025,4020846,Spain Women's,Irene Paredes Hernandez,78.0,66.0,144.0,9,10,19,20.6
2023/2024,3895244,Bayer Leverkusen,Granit Xhaka,75.0,69.0,144.0,10,11,21,26.77
2023/2024,3895107,Bayer Leverkusen,Odilon Kossonou,73.0,71.0,144.0,10,12,22,20.25
2024,3942226,Germany,Toni Kroos,76.0,68.0,144.0,15,16,31,26.52
2025,4018357,France Women's,Oriane Jean-François,80.0,64.0,144.0,15,13,28,23.15
2025,4020077,Spain Women's,María Méndez Fernández,78.0,66.0,144.0,9,9,18,21.05
2023/2024,3895180,Bayer Leverkusen,Jonathan Tah,76.0,67.0,143.0,12,10,22,20.94
2025,3998845,WNT Finland,Natalia Kuikka,74.0,69.0,143.0,14,10,24,29.79
2024,3930182,Denmark,Morten Hjulmand,70.0,73.0,143.0,10,10,20,28.6
2024,3930163,England,Declan Rice,78.0,65.0,143.0,12,9,21,26.34
2023/2024,3895086,Bayer Leverkusen,Jonathan Tah,74.0,68.0,142.0,12,8,20,17.95
2023/2024,3895266,Bayer Leverkusen,Josip Stanišić,74.0,68.0,142.0,9,8,17,16.36
2023/2024,3895067,Bayer Leverkusen,Odilon Kossonou,76.0,66.0,142.0,12,12,24,19.22
2024,3930171,England,John Stones,71.0,71.0,142.0,11,9,20,29.04
2023/2024,3895286,Bayer Leverkusen,Piero Martín Hincapié Reyna,73.0,69.0,142.0,8,9,17,20.82
2024,3930163,England,Jude Bellingham,68.0,74.0,142.0,10,10,20,26.15
2024,3930163,England,Kyle Walker,73.0,69.0,142.0,11,13,24,26.15
2025,3998839,Spain Women's,Laia Aleixandri López,72.0,69.0,141.0,10,10,20,24.91
2024,3942785,Argentina,Cristian Gabriel Romero,74.0,67.0,141.0,10,9,19,32.64
2024,3938638,Ukraine,Oleksandr Zinchenko,78.0,63.0,141.0,12,11,23,26.21
2023/2024,3895286,Bayer Leverkusen,Alejandro Grimaldo García,72.0,69.0,141.0,10,9,19,20.67
2024,3939972,Venezuela,Yangel Clemente Herrera Ravelo,67.0,73.0,140.0,13,12,25,30.84
2024,3938639,Turkey,Ferdi Erenay Kadıoğlu,74.0,66.0,140.0,10,10,20,25.93
2023/2024,3895074,Bayer Leverkusen,Granit Xhaka,71.0,69.0,140.0,11,11,22,26.82
2023/2024,3895232,Bayern Munich,Min Jae Kim,74.0,66.0,140.0,12,14,26,22.76
2024,3930179,Spain,Martín Zubimendi Ibáñez,71.0,69.0,140.0,15,14,29,25.5
2024,3941019,Belgium,Wout Faes,69.0,71.0,140.0,8,10,18,30.7
2023/2024,3895167,VfB Stuttgart,Dan-Axel Zagadou,71.0,69.0,140.0,12,10,22,26.52
