season_name,match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
2024,3942382,Netherlands,24,14.47,4.96,2.87
2024,3942415,Uruguay,28,17.17,4.4,4.1
2024,3942415,Brazil,23,12.68,4.3,3.1
2024,3942416,Panama,33,14.28,4.8,3.08
2024,3942416,Colombia,8,13.48,5.6,2.64
2024,3942752,France,20,17.45,5.06,3.2
2024,3942752,Spain,23,16.49,5.27,3.02
2024,3942785,Argentina,23,14.2,4.78,3.1
2024,3942785,Canada,26,10.73,4.63,2.84
2024,3942819,England,15,16.48,4.95,3.72
2024,3942819,Netherlands,17,15.97,4.87,3.49
2024,3942852,Colombia,18,13.55,4.47,3.49
2024,3942852,Uruguay,31,17.53,5.14,3.22
2024,3943043,England,16,10.84,4.51,3.46
2024,3943043,Spain,25,14.07,4.84,3.24
2024,3943076,Canada,34,16.28,4.42,3.85
2024,3943076,Uruguay,25,17.16,4.6,3.81
2024,3943077,Colombia,33,13.73,4.67,3.78
2024,3943077,Argentina,20,12.61,5.05,3.05
