season_name,match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
2024,3942416,Panama,18.0,11.0,15.0,44.0,25.0,40.91
2024,3942752,France,26.0,23.0,25.0,74.0,31.08,35.14
2024,3942752,Spain,29.0,18.0,26.0,73.0,24.66,39.73
2024,3942785,Argentina,16.0,11.0,13.0,40.0,27.5,40.0
2024,3942785,Canada,29.0,35.0,26.0,90.0,38.89,32.22
2024,3942819,England,28.0,21.0,20.0,69.0,30.43,40.58
2024,3942819,Netherlands,12.0,3.0,6.0,21.0,14.29,57.14
2024,3942852,Colombia,12.0,7.0,5.0,24.0,29.17,50.0
2024,3942852,Uruguay,25.0,25.0,22.0,72.0,34.72,34.72
2024,3943043,England,12.0,12.0,10.0,34.0,35.29,35.29
2024,3943043,Spain,36.0,29.0,30.0,95.0,30.53,37.89
2024,3943076,Canada,20.0,10.0,16.0,46.0,21.74,43.48
2024,3943076,Uruguay,8.0,2.0,2.0,12.0,16.67,66.67
2024,3943077,Argentina,19.0,8.0,13.0,40.0,20.0,47.5
2024,3943077,Colombia,46.0,26.0,40.0,112.0,23.21,41.07
