match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
3942227,Switzerland,20,14.05,4.89,3.1
3942228,Ecuador,19,16.16,4.82,3.62
3942228,Argentina,21,14.28,4.32,3.25
3942229,Venezuela,37,16.7,4.01,5.13
3942229,Canada,31,15.42,4.11,3.76
3942349,France,31,14.96,4.75,3.09
3942349,Portugal,24,15.13,5.42,3.07
3942382,Turkey,30,18.26,4.93,3.67
3942382,Netherlands,24,14.47,4.96,2.87
3942415,Uruguay,28,17.17,4.4,4.1
3942415,Brazil,23,12.68,4.3,3.1
3942416,Panama,33,14.28,4.8,3.08
3942416,Colombia,8,13.48,5.6,2.64
3942752,France,20,17.45,5.06,3.2
3942752,Spain,23,16.49,5.27,3.02
3942785,Argentina,23,14.2,4.78,3.1
3942785,Canada,26,10.73,4.63,2.84
3942819,England,15,16.48,4.95,3.72
3942819,Netherlands,17,15.97,4.87,3.49
3942852,Colombia,18,13.55,4.47,3.49
3942852,Uruguay,31,17.53,5.14,3.22
3943043,England,16,10.84,4.51,3.46
3943043,Spain,25,14.07,4.84,3.24
3943076,Canada,34,16.28,4.42,3.85
3943076,Uruguay,25,17.16,4.6,3.81
3943077,Colombia,33,13.73,4.67,3.78
3943077,Argentina,20,12.61,5.05,3.05
