match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
3930172,Spain,45.0,46.0,45.0,136.0,33.82,33.09
3930173,France,36.0,20.0,36.0,92.0,21.74,39.13
3930173,Netherlands,17.0,8.0,17.0,42.0,19.05,40.48
3930174,Portugal,42.0,26.0,42.0,110.0,23.64,38.18
3930174,Turkey,24.0,20.0,24.0,68.0,29.41,35.29
3930175,Belgium,22.0,26.0,22.0,70.0,37.14,31.43
3930175,Romania,10.0,4.0,10.0,24.0,16.67,41.67
3930176,Germany,45.0,31.0,45.0,121.0,25.62,37.19
3930176,Switzerland,20.0,20.0,20.0,60.0,33.33,33.33
3930177,Hungary,16.0,14.0,16.0,46.0,30.43,34.78
3930177,Scotland,16.0,9.0,16.0,41.0,21.95,39.02
3930178,Croatia,18.0,22.0,18.0,58.0,37.93,31.03
3930178,Italy,22.0,10.0,22.0,54.0,18.52,40.74
3930179,Albania,19.0,19.0,19.0,57.0,33.33,33.33
3930179,Spain,45.0,35.0,45.0,125.0,28.0,36.0
3930180,Austria,17.0,12.0,17.0,46.0,26.09,36.96
3930180,Netherlands,24.0,11.0,24.0,59.0,18.64,40.68
3930181,England,68.0,25.0,68.0,161.0,15.53,42.24
3930181,Slovenia,12.0,13.0,12.0,37.0,35.14,32.43
3930182,Denmark,36.0,25.0,36.0,97.0,25.77,37.11
3930182,Serbia,22.0,14.0,22.0,58.0,24.14,37.93
3930183,Romania,12.0,17.0,12.0,41.0,41.46,29.27
3930183,Slovakia,10.0,7.0,10.0,27.0,25.93,37.04
3930184,Czech Republic,11.0,7.0,11.0,29.0,24.14,37.93
3930184,Turkey,20.0,31.0,20.0,71.0,43.66,28.17
3938637,Netherlands,23.0,18.0,23.0,64.0,28.12,35.94
3938637,Poland,13.0,13.0,13.0,39.0,33.33,33.33
3938638,Romania,12.0,11.0,12.0,35.0,31.43,34.29
3938638,Ukraine,34.0,25.0,34.0,93.0,26.88,36.56
3938639,Georgia,18.0,17.0,18.0,53.0,32.08,33.96
3938639,Turkey,59.0,39.0,59.0,157.0,24.84,37.58
3938640,Slovakia,22.0,11.0,22.0,55.0,20.0,40.0
3938640,Ukraine,21.0,18.0,21.0,60.0,30.0,35.0
3938641,Austria,33.0,29.0,33.0,95.0,30.53,34.74
3938641,Poland,4.0,10.0,4.0,18.0,55.56,22.22
3938642,Czech Republic,40.0,33.0,40.0,113.0,29.2,35.4
