player,team,matches,shots,xg,goals,goals_minus_xg
Philip Foden,England,8,19,2.02,1.0,-1.02
Santiago Tomás Giménez,Mexico,3,8,1.03,0.0,-1.03
Nicolás Alejandro Tagliafico,Argentina,5,6,1.06,0.0,-1.06
Yangel Clemente Herrera Ravelo,Venezuela,4,8,1.09,0.0,-1.09
Rasmus Winther Højlund,Denmark,3,6,1.1,0.0,-1.1
Éder Gabriel Militão,Brazil,5,7,1.11,0.0,-1.11
Robert Lewandowski,Poland,4,17,4.12,3.0,-1.12
Memphis Depay,Netherlands,8,28,3.13,2.0,-1.13
Andraž Šporar,Slovenia,3,8,1.25,0.0,-1.25
José María Giménez de Vargas,Uruguay,6,8,1.28,0.0,-1.28
Marcus Thuram,France,5,13,1.29,0.0,-1.29
Virgil van Dijk,Netherlands,8,9,1.32,0.0,-1.32
Orbelín Pineda Alvarado,Mexico,3,7,1.32,0.0,-1.32
Stephen Antunes Eustáquio,Canada,4,7,1.35,0.0,-1.35
Tanitoluwa Oluwaseyi,Canada,4,9,1.74,0.0,-1.74
Antoine Griezmann,France,9,18,2.02,0.0,-2.02
Rodrygo Silva de Goes,Brazil,7,17,2.15,0.0,-2.15
Ricardo Daniel Pepi,United States,2,7,2.16,0.0,-2.16
Romelu Lukaku Menama,Belgium,5,16,3.44,0.0,-3.44
Cristiano Ronaldo dos Santos Aveiro,Portugal,10,36,6.48,3.0,-3.48
