match_id,team,zone,defensive_actions
7548,Costa Rica,Defensive Third,47
7548,Costa Rica,Middle Third,7
7549,Iceland,Attacking Third,3
7549,Iceland,Defensive Third,30
7549,Iceland,Middle Third,7
7549,Nigeria,Attacking Third,1
7549,Nigeria,Defensive Third,32
7549,Nigeria,Middle Third,6
7550,Serbia,Attacking Third,5
7550,Serbia,Defensive Third,27
7550,Serbia,Middle Third,3
7550,Switzerland,Attacking Third,2
7550,Switzerland,Defensive Third,20
7550,Switzerland,Middle Third,5
7551,Germany,Attacking Third,8
7551,Germany,Defensive Third,17
7551,Germany,Middle Third,4
7551,Sweden,Attacking Third,2
7551,Sweden,Defensive Third,69
7551,Sweden,Middle Third,3
7552,Belgium,Attacking Third,3
7552,Belgium,Defensive Third,23
7552,Belgium,Middle Third,8
7552,Tunisia,Attacking Third,3
7552,Tunisia,Defensive Third,26
7552,Tunisia,Middle Third,6
7553,Mexico,Attacking Third,3
7553,Mexico,Defensive Third,25
7553,Mexico,Middle Third,14
7553,South Korea,Attacking Third,3
7553,South Korea,Defensive Third,18
7553,South Korea,Middle Third,8
7554,England,Attacking Third,2
7554,England,Defensive Third,19
7554,England,Middle Third,8
7554,Panama,Attacking Third,1
7554,Panama,Defensive Third,12
7554,Panama,Middle Third,8
7555,Colombia,Attacking Third,4
7555,Colombia,Defensive Third,38
7555,Colombia,Middle Third,6
7555,Poland,Attacking Third,4
7555,Poland,Defensive Third,43
7555,Poland,Middle Third,15
7556,Japan,Attacking Third,2
7556,Japan,Defensive Third,29
7556,Japan,Middle Third,7
7556,Senegal,Attacking Third,1
7556,Senegal,Defensive Third,15
7556,Senegal,Middle Third,10
7557,Iran,Attacking Third,6
7557,Iran,Defensive Third,28
7557,Iran,Middle Third,13
7557,Portugal,Attacking Third,2
7557,Portugal,Defensive Third,21
7557,Portugal,Middle Third,9
7558,Russia,Attacking Third,2
7558,Russia,Defensive Third,36
7558,Russia,Middle Third,7
7558,Uruguay,Attacking Third,4
7558,Uruguay,Defensive Third,19
7558,Uruguay,Middle Third,4
7559,Egypt,Attacking Third,2
7559,Egypt,Defensive Third,42
7559,Egypt,Middle Third,4
7559,Saudi Arabia,Attacking Third,5
7559,Saudi Arabia,Defensive Third,17
7559,Saudi Arabia,Middle Third,10
7560,Morocco,Attacking Third,4
7560,Morocco,Defensive Third,36
7560,Morocco,Middle Third,3
7560,Spain,Attacking Third,4
7560,Spain,Defensive Third,9
7560,Spain,Middle Third,8
7561,Croatia,Attacking Third,1
7561,Croatia,Defensive Third,47
7561,Croatia,Middle Third,5
7561,Iceland,Attacking Third,2
7561,Iceland,Defensive Third,23
7561,Iceland,Middle Third,7
7562,Australia,Attacking Third,6
7562,Australia,Defensive Third,21
7562,Australia,Middle Third,15
7562,Peru,Attacking Third,1
7562,Peru,Defensive Third,37
7562,Peru,Middle Third,10
7563,Denmark,Attacking Third,2
7563,Denmark,Defensive Third,32
7563,Denmark,Middle Third,12
7563,France,Attacking Third,2
7563,France,Defensive Third,15
7563,France,Middle Third,7
7564,Argentina,Attacking Third,4
7564,Argentina,Defensive Third,24
7564,Argentina,Middle Third,8
7564,Nigeria,Attacking Third,2
7564,Nigeria,Defensive Third,34
7564,Nigeria,Middle Third,17
7565,Brazil,Attacking Third,2
7565,Brazil,Defensive Third,48
7565,Brazil,Middle Third,11
7565,Serbia,Attacking Third,4
7565,Serbia,Defensive Third,36
7565,Serbia,Middle Third,9
7566,Mexico,Attacking Third,5
7566,Mexico,Defensive Third,12
7566,Mexico,Middle Third,9
7566,Sweden,Attacking Third,2
7566,Sweden,Defensive Third,48
7566,Sweden,Middle Third,4
7567,Germany,Attacking Third,7
7567,Germany,Defensive Third,16
7567,Germany,Middle Third,8
7567,South Korea,Defensive Third,63
7567,South Korea,Middle Third,6
7568,Costa Rica,Attacking Third,1
7568,Costa Rica,Defensive Third,37
7568,Costa Rica,Middle Third,11
7568,Switzerland,Attacking Third,4
7568,Switzerland,Defensive Third,24
7568,Switzerland,Middle Third,6
7569,Panama,Attacking Third,2
7569,Panama,Defensive Third,41
7569,Panama,Middle Third,9
7569,Tunisia,Attacking Third,2
7569,Tunisia,Defensive Third,12
7569,Tunisia,Middle Third,10
7570,Belgium,Attacking Third,3
7570,Belgium,Defensive Third,31
7570,Belgium,Middle Third,6
7570,England,Attacking Third,3
7570,England,Defensive Third,14
7570,England,Middle Third,7
7571,Colombia,Attacking Third,4
7571,Colombia,Defensive Third,22
7571,Colombia,Middle Third,8
7571,Senegal,Attacking Third,3
7571,Senegal,Defensive Third,25
7571,Senegal,Middle Third,19
7572,Japan,Attacking Third,3
7572,Japan,Defensive Third,27
7572,Japan,Middle Third,6
7572,Poland,Attacking Third,1
7572,Poland,Defensive Third,19
7572,Poland,Middle Third,12
7576,Portugal,Attacking Third,2
7576,Portugal,Defensive Third,19
7576,Portugal,Middle Third,1
7576,Spain,Attacking Third,5
7576,Spain,Defensive Third,19
7576,Spain,Middle Third,8
7577,Iran,Attacking Third,1
7577,Iran,Defensive Third,21
7577,Iran,Middle Third,8
7577,Morocco,Attacking Third,7
7577,Morocco,Defensive Third,22
7577,Morocco,Middle Third,12
7578,Egypt,Attacking Third,6
7578,Egypt,Defensive Third,33
7578,Egypt,Middle Third,7
7578,Uruguay,Attacking Third,8
7578,Uruguay,Defensive Third,25
7578,Uruguay,Middle Third,17
7579,Portugal,Attacking Third,3
7579,Portugal,Defensive Third,23
7579,Portugal,Middle Third,10
7579,Uruguay,Attacking Third,6
7579,Uruguay,Defensive Third,55
7579,Uruguay,Middle Third,3
7580,Argentina,Attacking Third,6
7580,Argentina,Defensive Third,9
7580,Argentina,Middle Third,9
7580,France,Attacking Third,2
7580,France,Defensive Third,33
7580,France,Middle Third,7
7581,Croatia,Attacking Third,3
7581,Croatia,Defensive Third,41
7581,Croatia,Middle Third,12
7581,Denmark,Attacking Third,4
7581,Denmark,Defensive Third,41
7581,Denmark,Middle Third,15
7582,Russia,Attacking Third,3
7582,Russia,Defensive Third,64
7582,Russia,Middle Third,12
7582,Spain,Attacking Third,5
7582,Spain,Defensive Third,24
7582,Spain,Middle Third,3
7583,Brazil,Attacking Third,3
7583,Brazil,Defensive Third,32
7583,Brazil,Middle Third,11
7583,Mexico,Attacking Third,4
7583,Mexico,Defensive Third,29
7583,Mexico,Middle Third,7
7584,Belgium,Attacking Third,2
7584,Belgium,Defensive Third,20
7584,Belgium,Middle Third,9
7584,Japan,Attacking Third,2
7584,Japan,Defensive Third,49
7584,Japan,Middle Third,13
7585,Colombia,Attacking Third,5
7585,Colombia,Defensive Third,47
7585,Colombia,Middle Third,5
7585,England,Attacking Third,5
7585,England,Defensive Third,31
7585,England,Middle Third,12
7586,Sweden,Attacking Third,4
7586,Sweden,Defensive Third,50
7586,Sweden,Middle Third,11
7586,Switzerland,Attacking Third,3
7586,Switzerland,Defensive Third,24
7586,Switzerland,Middle Third,6
8649,France,Attacking Third,3
8649,France,Defensive Third,48
8649,France,Middle Third,11
8649,Uruguay,Attacking Third,3
8649,Uruguay,Defensive Third,25
8649,Uruguay,Middle Third,10
8650,Belgium,Defensive Third,59
8650,Belgium,Middle Third,3
8650,Brazil,Attacking Third,4
8650,Brazil,Defensive Third,24
8650,Brazil,Middle Third,4
8651,England,Attacking Third,2
8651,England,Defensive Third,20
8651,England,Middle Third,4
8651,Sweden,Attacking Third,2
8651,Sweden,Defensive Third,51
8651,Sweden,Middle Third,11
8652,Croatia,Attacking Third,1
8652,Croatia,Defensive Third,44
8652,Croatia,Middle Third,7
8652,Russia,Attacking Third,7
8652,Russia,Defensive Third,68
8652,Russia,Middle Third,10
8655,Belgium,Attacking Third,4
8655,Belgium,Defensive Third,23
8655,Belgium,Middle Third,2
8655,France,Attacking Third,1
8655,France,Defensive Third,32
8655,France,Middle Third,7
8656,Croatia,Attacking Third,2
8656,Croatia,Defensive Third,34
8656,Croatia,Middle Third,5
8656,England,Attacking Third,7
8656,England,Defensive Third,62
8656,England,Middle Third,8
8657,Belgium,Attacking Third,2
8657,Belgium,Defensive Third,32
8657,Belgium,Middle Third,6
8657,England,Attacking Third,3
8657,England,Defensive Third,27
8657,England,Middle Third,9
8658,Croatia,Attacking Third,6
8658,Croatia,Defensive Third,22
8658,Croatia,Middle Third,6
8658,France,Attacking Third,6
8658,France,Defensive Third,40
8658,France,Middle Third,7
9575,Barcelona,Attacking Third,8
9575,Barcelona,Defensive Third,14
9575,Barcelona,Middle Third,12
9575,Real Betis,Attacking Third,7
9575,Real Betis,Defensive Third,43
9575,Real Betis,Middle Third,12
9581,Barcelona,Attacking Third,5
9581,Barcelona,Defensive Third,15
9581,Barcelona,Middle Third,8
9581,Deportivo Alavés,Attacking Third,4
9581,Deportivo Alavés,Defensive Third,49
9581,Deportivo Alavés,Middle Third,8
9592,Barcelona,Attacking Third,4
9592,Barcelona,Defensive Third,31
9592,Barcelona,Middle Third,9
9592,Espanyol,Attacking Third,3
9592,Espanyol,Defensive Third,31
9592,Espanyol,Middle Third,8
9602,Barcelona,Attacking Third,7
9602,Barcelona,Defensive Third,25
9602,Barcelona,Middle Third,13
9602,Getafe,Attacking Third,3
9602,Getafe,Defensive Third,32
9602,Getafe,Middle Third,5
9609,Barcelona,Attacking Third,4
9609,Barcelona,Defensive Third,34
9609,Barcelona,Middle Third,12
9609,Eibar,Attacking Third,6
9609,Eibar,Defensive Third,23
9609,Eibar,Middle Third,20
9620,Barcelona,Attacking Third,3
9620,Barcelona,Defensive Third,26
9620,Barcelona,Middle Third,21
9620,Girona,Attacking Third,5
9620,Girona,Defensive Third,24
9620,Girona,Middle Third,11
9636,Barcelona,Attacking Third,9
9636,Barcelona,Defensive Third,21
9636,Barcelona,Middle Third,12
9636,Las Palmas,Attacking Third,1
9636,Las Palmas,Defensive Third,38
9636,Las Palmas,Middle Third,6
9642,Atlético Madrid,Attacking Third,4
9642,Atlético Madrid,Defensive Third,68
9642,Atlético Madrid,Middle Third,7
9642,Barcelona,Attacking Third,12
9642,Barcelona,Defensive Third,19
9642,Barcelona,Middle Third,11
9650,Barcelona,Attacking Third,7
9650,Barcelona,Defensive Third,20
9650,Barcelona,Middle Third,14
9650,Málaga,Attacking Third,2
9650,Málaga,Defensive Third,33
9650,Málaga,Middle Third,12
9661,Athletic Club,Attacking Third,5
9661,Athletic Club,Defensive Third,40
9661,Athletic Club,Middle Third,19
9661,Barcelona,Attacking Third,2
9661,Barcelona,Defensive Third,36
9661,Barcelona,Middle Third,8
9673,Barcelona,Attacking Third,5
9673,Barcelona,Defensive Third,22
9673,Barcelona,Middle Third,15
9673,Sevilla,Attacking Third,3
9673,Sevilla,Defensive Third,43
9673,Sevilla,Middle Third,9
9682,Barcelona,Attacking Third,2
9682,Barcelona,Defensive Third,35
9682,Barcelona,Middle Third,16
9682,Leganés,Attacking Third,1
9682,Leganés,Defensive Third,30
9682,Leganés,Middle Third,16
9695,Barcelona,Attacking Third,7
9695,Barcelona,Defensive Third,25
9695,Barcelona,Middle Third,9
9695,Valencia,Attacking Third,11
9695,Valencia,Defensive Third,54
9695,Valencia,Middle Third,9
9700,Barcelona,Attacking Third,8
9700,Barcelona,Defensive Third,21
9700,Barcelona,Middle Third,17
9700,Celta Vigo,Attacking Third,4
9700,Celta Vigo,Defensive Third,54
9700,Celta Vigo,Middle Third,10
9717,Barcelona,Attacking Third,3
9717,Barcelona,Defensive Third,15
9717,Barcelona,Middle Third,12
9717,Villarreal,Attacking Third,6
9717,Villarreal,Defensive Third,38
9717,Villarreal,Middle Third,8
9726,Barcelona,Attacking Third,4
9726,Barcelona,Defensive Third,26
9726,Barcelona,Middle Third,15
9726,RC Deportivo La Coruña,Attacking Third,2
9726,RC Deportivo La Coruña,Defensive Third,32
9726,RC Deportivo La Coruña,Middle Third,14
9736,Barcelona,Attacking Third,6
9736,Barcelona,Defensive Third,34
9736,Barcelona,Middle Third,13
9736,Real Madrid,Attacking Third,4
9736,Real Madrid,Defensive Third,18
9736,Real Madrid,Middle Third,10
9742,Barcelona,Attacking Third,3
9742,Barcelona,Defensive Third,23
9742,Barcelona,Middle Third,22
9742,Levante UD,Attacking Third,4
9742,Levante UD,Defensive Third,31
9742,Levante UD,Middle Third,10
9754,Barcelona,Attacking Third,3
9754,Barcelona,Defensive Third,32
9754,Barcelona,Middle Third,4
9754,Real Sociedad,Attacking Third,7
9754,Real Sociedad,Defensive Third,23
9754,Real Sociedad,Middle Third,8
9765,Barcelona,Attacking Third,5
9765,Barcelona,Defensive Third,19
9765,Barcelona,Middle Third,12
9765,Real Betis,Attacking Third,3
9765,Real Betis,Defensive Third,24
9765,Real Betis,Middle Third,19
9774,Barcelona,Attacking Third,6
9774,Barcelona,Defensive Third,19
9774,Barcelona,Middle Third,14
9774,Deportivo Alavés,Attacking Third,3
9774,Deportivo Alavés,Defensive Third,64
9774,Deportivo Alavés,Middle Third,12
9783,Barcelona,Attacking Third,7
9783,Barcelona,Defensive Third,24
9783,Barcelona,Middle Third,12
9783,Espanyol,Attacking Third,8
9783,Espanyol,Defensive Third,61
9783,Espanyol,Middle Third,19
9794,Barcelona,Attacking Third,3
9794,Barcelona,Defensive Third,14
9794,Barcelona,Middle Third,11
9794,Getafe,Attacking Third,3
9794,Getafe,Defensive Third,57
9794,Getafe,Middle Third,8
9799,Barcelona,Attacking Third,1
9799,Barcelona,Defensive Third,52
9799,Barcelona,Middle Third,15
9799,Eibar,Attacking Third,9
9799,Eibar,Defensive Third,13
9799,Eibar,Middle Third,19
9811,Barcelona,Attacking Third,9
9811,Barcelona,Defensive Third,13
9811,Barcelona,Middle Third,11
9811,Girona,Attacking Third,8
9811,Girona,Defensive Third,32
9811,Girona,Middle Third,11
9827,Barcelona,Attacking Third,4
9827,Barcelona,Defensive Third,19
9827,Barcelona,Middle Third,10
9827,Las Palmas,Defensive Third,39
9827,Las Palmas,Middle Third,9
9837,Atlético Madrid,Attacking Third,7
9837,Atlético Madrid,Defensive Third,41
9837,Atlético Madrid,Middle Third,18
9837,Barcelona,Attacking Third,7
9837,Barcelona,Defensive Third,19
9837,Barcelona,Middle Third,12
9855,Athletic Club,Attacking Third,4
9855,Athletic Club,Defensive Third,26
9855,Athletic Club,Middle Third,19
9855,Barcelona,Attacking Third,9
9855,Barcelona,Defensive Third,34
9855,Barcelona,Middle Third,13
9860,Barcelona,Attacking Third,4
9860,Barcelona,Defensive Third,36
9860,Barcelona,Middle Third,12
9860,Sevilla,Attacking Third,4
9860,Sevilla,Defensive Third,49
9860,Sevilla,Middle Third,8
9870,Barcelona,Attacking Third,4
9870,Barcelona,Defensive Third,24
9870,Barcelona,Middle Third,12
9870,Leganés,Attacking Third,2
9870,Leganés,Defensive Third,41
9870,Leganés,Middle Third,19
9880,Barcelona,Attacking Third,7
9880,Barcelona,Defensive Third,28
9880,Barcelona,Middle Third,9
9880,Valencia,Attacking Third,6
