match_id,team,total_actions,final_third_actions,field_tilt_pct
19759,Arsenal WFC,1331,364,27.35
19759,Everton LFC,519,73,14.07
19760,Chelsea FCW,1345,660,49.07
19760,Yeovil Town LFC,506,51,10.08
19761,Liverpool WFC,750,248,33.07
19761,Bristol City WFC,548,150,27.37
19762,Reading WFC,1062,275,25.89
19762,Brighton & Hove Albion WFC,623,85,13.64
19763,West Ham United LFC,674,164,24.33
19763,Birmingham City WFC,1070,183,17.1
19764,Manchester City WFC,1461,528,36.14
19764,Yeovil Town LFC,560,119,21.25
19765,Birmingham City WFC,1432,266,18.58
19765,Liverpool WFC,631,108,17.12
19766,Arsenal WFC,1267,433,34.18
19766,Brighton & Hove Albion WFC,580,58,10.0
19767,Reading WFC,924,199,21.54
19767,Everton LFC,688,141,20.49
19768,West Ham United LFC,880,197,22.39
19768,Bristol City WFC,744,152,20.43
19769,West Ham United LFC,782,188,24.04
19769,Brighton & Hove Albion WFC,787,167,21.22
19770,Arsenal WFC,942,281,29.83
19770,Manchester City WFC,927,148,15.97
19771,Birmingham City WFC,1355,281,20.74
19771,Yeovil Town LFC,496,89,17.94
19772,Chelsea FCW,943,287,30.43
19772,Reading WFC,666,110,16.52
19773,Everton LFC,858,189,22.03
19773,Liverpool WFC,946,158,16.7
19774,Everton LFC,894,216,24.16
19774,Bristol City WFC,658,143,21.73
19775,Reading WFC,1132,292,25.8
19775,Liverpool WFC,713,77,10.8
19776,Chelsea FCW,1098,345,31.42
19776,Brighton & Hove Albion WFC,625,88,14.08
19777,West Ham United LFC,937,251,26.79
19777,Yeovil Town LFC,630,111,17.62
19778,Manchester City WFC,991,238,24.02
19778,Birmingham City WFC,1159,201,17.34
19779,Manchester City WFC,1502,506,33.69
19779,Bristol City WFC,448,70,15.63
19780,Brighton & Hove Albion WFC,971,206,21.22
19780,Liverpool WFC,686,124,18.08
19781,Arsenal WFC,1092,307,28.11
19781,West Ham United LFC,587,84,14.31
19782,Reading WFC,751,242,32.22
19782,Birmingham City WFC,658,160,24.32
19783,Chelsea FCW,1225,355,28.98
19783,Everton LFC,677,113,16.69
19784,Everton LFC,713,181,25.39
19784,Brighton & Hove Albion WFC,719,148,20.58
19785,Chelsea FCW,854,203,23.77
19785,Arsenal WFC,835,128,15.33
19786,Manchester City WFC,896,225,25.11
19786,West Ham United LFC,810,139,17.16
19787,Birmingham City WFC,1073,214,19.94
19787,Bristol City WFC,415,75,18.07
19788,Liverpool WFC,890,246,27.64
19788,Yeovil Town LFC,574,97,16.9
19789,Chelsea FCW,1059,296,27.95
19789,Birmingham City WFC,866,162,18.71
19790,Manchester City WFC,1279,355,27.76
19790,Brighton & Hove Albion WFC,643,63,9.8
19791,Arsenal WFC,701,160,22.82
19791,Reading WFC,790,131,16.58
19792,Bristol City WFC,849,309,36.4
19792,Yeovil Town LFC,603,98,16.25
19793,West Ham United LFC,1058,261,24.67
19793,Liverpool WFC,663,102,15.38
19794,Chelsea FCW,1368,315,23.03
19794,Bristol City WFC,700,109,15.57
19795,West Ham United LFC,642,221,34.42
19795,Reading WFC,726,170,23.42
19796,Birmingham City WFC,1300,275,21.15
19796,Brighton & Hove Albion WFC,592,117,19.76
19797,Arsenal WFC,1371,547,39.9
19797,Yeovil Town LFC,342,33,9.65
19798,Manchester City WFC,1110,352,31.71
19798,Everton LFC,631,140,22.19
19799,Chelsea FCW,1700,368,21.65
19799,Liverpool WFC,496,30,6.05
19800,Arsenal WFC,1341,377,28.11
19800,Bristol City WFC,566,98,17.31
19801,Manchester City WFC,823,228,27.7
19801,Reading WFC,1019,127,12.46
19802,Brighton & Hove Albion WFC,696,273,39.22
19802,Yeovil Town LFC,547,137,25.05
19803,West Ham United LFC,675,200,29.63
19803,Everton LFC,694,113,16.28
19804,Arsenal WFC,804,252,31.34
19804,Birmingham City WFC,809,134,16.56
19805,Chelsea FCW,892,250,28.03
19805,West Ham United LFC,693,146,21.07
19806,Reading WFC,1048,269,25.67
19806,Bristol City WFC,602,122,20.27
19807,Manchester City WFC,1530,478,31.24
19807,Liverpool WFC,514,65,12.65
19808,Everton LFC,1045,353,33.78
19808,Yeovil Town LFC,520,113,21.73
19809,Reading WFC,837,230,27.48
19809,Brighton & Hove Albion WFC,724,198,27.35
19810,Liverpool WFC,742,246,33.15
19810,Bristol City WFC,709,154,21.72
19811,Arsenal WFC,1060,240,22.64
19811,Everton LFC,711,119,16.74
19813,Birmingham City WFC,1091,311,28.51
19813,West Ham United LFC,606,51,8.42
19814,West Ham United LFC,933,256,27.44
19814,Bristol City WFC,718,156,21.73
19815,Arsenal WFC,1391,402,28.9
19815,Brighton & Hove Albion WFC,487,81,16.63
19816,Birmingham City WFC,1237,296,23.93
19816,Liverpool WFC,581,100,17.21
19817,Reading WFC,1025,270,26.34
19817,Everton LFC,686,142,20.7
19818,Manchester City WFC,1351,431,31.9
19818,Yeovil Town LFC,509,60,11.79
19819,Brighton & Hove Albion WFC,627,181,28.87
19819,West Ham United LFC,1005,172,17.11
19820,Chelsea FCW,944,282,29.87
19820,Reading WFC,752,143,19.02
19821,Arsenal WFC,934,262,28.05
19821,Manchester City WFC,960,210,21.88
19822,Birmingham City WFC,1195,398,33.31
19822,Yeovil Town LFC,558,73,13.08
22912,Liverpool,560,156,27.86
22912,Tottenham Hotspur,1044,205,19.64
22921,France Women's,1153,355,30.79
22921,Korea Republic Women's,615,37,6.02
22924,Nigeria Women's,636,169,26.57
22924,Norway Women's,932,189,20.28
22926,Germany Women's,1051,383,36.44
22926,China PR Women's,629,106,16.85
22930,Spain Women's,1236,478,38.67
22930,South Africa Women's,417,64,15.35
22933,Italy Women's,533,129,24.2
22933,Australia Women's,951,224,23.55
22934,Brazil Women's,884,201,22.74
22934,Jamaica Women's,600,117,19.5
22936,England Women's,1054,381,36.15
22936,Scotland Women's,797,149,18.7
22939,Canada Women's,1181,314,26.59
22939,Cameroon Women's,437,78,17.85
22940,Japan Women's,1357,354,26.09
22940,Argentina Women's,543,78,14.36
22942,Netherlands Women's,1399,420,30.02
22942,New Zealand Women's,607,112,18.45
22943,United States Women's,1426,667,46.77
22943,Thailand Women's,434,41,9.45
22944,Sweden Women's,1129,376,33.3
22944,Chile Women's,487,60,12.32
22945,Korea Republic Women's,1092,339,31.04
22945,Nigeria Women's,612,132,21.57
22948,France Women's,699,263,37.63
22948,Norway Women's,795,126,15.85
22949,Spain Women's,1067,303,28.4
22949,Germany Women's,604,152,25.17
22955,Australia Women's,1010,269,26.63
22955,Brazil Women's,844,128,15.17
22956,China PR Women's,907,288,31.75
22956,South Africa Women's,765,117,15.29
22961,Japan Women's,956,285,29.81
22961,Scotland Women's,945,184,19.47
22962,England Women's,1164,340,29.21
22962,Argentina Women's,388,45,11.6
22963,Jamaica Women's,767,200,26.08
22963,Italy Women's,958,202,21.09
22964,Netherlands Women's,990,233,23.54
22964,Cameroon Women's,678,145,21.39
22966,Canada Women's,1301,429,32.97
22966,New Zealand Women's,521,79,15.16
22973,Sweden Women's,1326,616,46.46
22973,Thailand Women's,499,40,8.02
22974,United States Women's,1209,401,33.17
22974,Chile Women's,472,46,9.75
22980,France Women's,1142,346,30.3
22980,Nigeria Women's,456,67,14.69
22981,Korea Republic Women's,892,327,36.66
22981,Norway Women's,629,79,12.56
22983,Spain Women's,1153,364,31.57
22983,China PR Women's,570,56,9.82
22984,Germany Women's,1171,271,23.14
22984,South Africa Women's,799,109,13.64
68311,Australia Women's,1351,342,25.31
68311,Jamaica Women's,547,100,18.28
68312,Brazil Women's,803,194,24.16
68312,Italy Women's,751,163,21.7
68313,Osasuna,611,144,23.57
68313,Barcelona,995,217,21.81
68314,Barcelona,1286,382,29.7
68314,Málaga,422,57,13.51
68315,Barcelona,1132,331,29.24
68315,Levante UD,564,108,19.15
68316,Barcelona,1372,383,27.92
68316,Albacete,508,58,11.42
68317,Barcelona,901,244,27.08
68317,Real Zaragoza,676,142,21.01
68318,Barcelona,1273,303,23.8
68318,Osasuna,561,86,15.33
68319,Barcelona,956,319,33.37
68319,Real Madrid,856,181,21.14
68320,Villarreal,804,165,20.52
68320,Barcelona,887,178,20.07
68321,Barcelona,1195,277,23.18
68321,Sevilla,751,131,17.44
68322,Cádiz,663,181,27.3
68322,Barcelona,891,198,22.22
68323,Barcelona,1042,223,21.4
68323,Celta Vigo,827,113,13.66
68324,Barcelona,1040,315,30.29
68324,Deportivo Alavés,602,60,9.97
68325,Barcelona,1060,257,24.25
68325,Mallorca,737,157,21.3
68326,Celta Vigo,700,172,24.57
68326,Barcelona,1355,328,24.21
