match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
15946,Deportivo Alavés,26,14.2,4.2,3.86
15946,Barcelona,35,13.43,5.52,2.86
15956,Barcelona,32,13.79,4.81,3.17
15956,Real Valladolid,38,15.81,5.22,3.03
15973,Barcelona,26,17.28,4.61,3.87
15973,Huesca,23,13.66,4.74,3.7
15978,Real Sociedad,29,18.16,4.83,3.73
15978,Barcelona,31,13.61,5.22,3.2
15986,Barcelona,28,13.92,5.15,3.05
15986,Girona,18,11.12,4.42,2.91
15998,Leganés,19,20.75,4.97,4.21
15998,Barcelona,24,16.0,5.2,3.32
16010,Athletic Club,35,16.81,3.71,4.5
16010,Barcelona,38,13.16,5.3,2.65
16023,Valencia,30,12.54,4.64,2.89
16023,Barcelona,24,10.55,5.32,2.34
16029,Sevilla,31,15.7,4.48,4.03
16029,Barcelona,17,20.66,5.63,3.86
16056,Barcelona,24,18.61,5.01,4.1
16056,Real Betis,27,20.53,5.23,3.88
16073,Barcelona,18,17.87,4.88,3.59
16073,Atlético Madrid,24,11.11,4.38,2.92
16079,Villarreal,23,15.96,4.66,3.53
16079,Barcelona,29,12.39,4.45,2.97
16086,Espanyol,37,16.26,4.93,3.52
16086,Barcelona,24,14.21,4.98,3.12
16095,Levante UD,38,16.48,4.74,3.7
16095,Barcelona,25,16.65,5.22,3.21
16109,Barcelona,24,18.77,4.8,3.92
16109,Celta Vigo,37,16.41,5.11,3.38
16120,Getafe,25,20.63,4.57,4.59
16120,Barcelona,23,12.45,5.01,3.35
16131,Eibar,35,16.44,4.77,3.52
16131,Barcelona,25,15.69,4.74,3.29
16136,Barcelona,26,14.99,4.9,3.21
16136,Leganés,27,12.76,4.29,3.0
16149,Girona,40,15.15,4.87,3.22
16149,Barcelona,26,13.81,4.65,2.9
16157,Valencia,25,15.52,4.71,3.47
16157,Barcelona,29,12.82,5.12,3.03
16173,Athletic Club,29,15.78,4.18,3.75
16173,Barcelona,28,14.84,5.28,3.02
16182,Real Valladolid,30,19.51,4.89,4.1
16182,Barcelona,30,17.48,5.02,3.74
16190,Sevilla,33,18.22,5.25,3.54
16190,Barcelona,33,14.12,4.46,3.43
16196,Barcelona,25,15.37,4.45,3.89
16196,Real Madrid,36,13.45,4.86,3.21
16205,Rayo Vallecano,28,14.91,4.84,3.34
16205,Barcelona,25,14.72,4.81,3.28
16215,Barcelona,22,18.49,5.09,3.96
16215,Real Betis,27,16.89,5.24,3.37
16231,Barcelona,33,18.58,5.38,3.68
16231,Espanyol,28,14.6,4.65,3.23
16240,Barcelona,19,18.84,4.9,4.24
16240,Villarreal,17,16.26,4.93,3.64
16248,Barcelona,28,19.19,4.77,4.2
16248,Atlético Madrid,29,14.21,4.77,3.38
16265,Barcelona,25,16.81,5.09,3.45
16265,Real Sociedad,37,12.28,4.49,3.42
16275,Deportivo Alavés,27,11.86,4.3,3.18
16275,Barcelona,29,12.97,4.65,3.11
16289,Barcelona,33,15.37,4.77,3.8
16289,Levante UD,29,18.05,5.11,3.64
16306,Getafe,26,18.11,3.86,4.67
16306,Barcelona,28,14.39,5.41,2.86
16317,Eibar,36,18.67,4.27,4.56
16317,Barcelona,20,17.71,5.39,3.86
18235,Inter Milan,28,20.95,4.53,4.4
18235,Bayern Munich,33,17.24,5.23,3.57
18236,Manchester United,25,15.19,4.82,3.67
18236,Barcelona,32,11.07,5.28,2.41
18237,Bayern Munich,36,18.46,5.35,3.6
18237,Chelsea,27,14.26,4.63,3.34
18240,Bayern Munich,38,21.45,5.16,4.19
18240,Borussia Dortmund,40,17.34,5.05,3.92
18241,Real Madrid,40,20.41,4.83,4.49
18241,Atlético Madrid,49,12.48,4.43,3.54
18242,Barcelona,26,17.3,4.93,5.22
18242,Juventus,21,16.99,5.28,3.18
18243,Real Madrid,31,14.99,4.58,4.69
18243,Atlético Madrid,37,15.35,5.01,3.35
18244,Real Madrid,31,17.64,4.8,3.97
18244,Juventus,30,15.44,4.85,3.43
18245,Real Madrid,30,15.17,4.61,4.37
18245,Liverpool,27,11.89,4.62,3.04
19714,Manchester City WFC,30,14.71,4.44,4.24
19714,Chelsea FCW,35,17.04,4.71,3.75
19715,Brighton & Hove Albion WFC,33,18.94,5.39,3.56
19715,Bristol City WFC,20,16.17,5.12,3.12
19716,Yeovil Town LFC,32,14.56,4.63,3.38
19716,Reading WFC,45,15.72,5.01,3.36
19717,Arsenal WFC,34,14.14,4.8,4.1
19717,Liverpool WFC,31,16.53,4.29,4.05
19718,Everton LFC,32,13.96,4.82,3.72
19718,Birmingham City WFC,33,12.58,4.81,3.22
19719,West Ham United LFC,21,20.42,4.26,4.6
19719,Reading WFC,36,16.13,4.98,3.31
19720,Bristol City WFC,19,18.36,4.82,3.63
19720,Chelsea FCW,30,13.28,4.83,3.15
19722,Yeovil Town LFC,28,15.31,3.89,3.98
19722,Arsenal WFC,37,12.46,4.95,2.86
19723,Manchester City WFC,46,17.3,5.08,5.41
19723,Everton LFC,35,15.59,4.34,4.01
19724,Arsenal WFC,35,15.16,4.68,3.85
19724,West Ham United LFC,37,13.51,4.35,3.32
19725,Liverpool WFC,37,14.91,4.07,3.63
19725,Brighton & Hove Albion WFC,37,15.72,4.87,3.31
19726,Chelsea FCW,45,15.89,4.75,3.53
19726,Everton LFC,32,13.52,4.5,3.45
19727,Reading WFC,36,17.49,5.34,3.42
19727,Birmingham City WFC,28,13.53,4.11,3.24
19728,Bristol City WFC,21,13.31,3.89,3.62
19728,Manchester City WFC,43,13.42,5.04,3.07
19729,Bristol City WFC,36,14.96,4.23,3.95
19729,Everton LFC,37,13.77,4.6,3.6
19730,Brighton & Hove Albion WFC,27,14.66,4.6,3.38
19730,Chelsea FCW,31,12.06,4.56,3.2
19731,Yeovil Town LFC,21,12.59,3.68,3.87
19731,West Ham United LFC,29,15.71,4.97,3.53
19732,Liverpool WFC,31,15.09,4.18,3.72
19732,Reading WFC,50,15.27,4.93,3.34
19733,Manchester City WFC,39,16.98,4.85,3.85
19733,Birmingham City WFC,48,12.2,4.8,2.73
19734,Brighton & Hove Albion WFC,38,14.55,4.52,3.36
19734,Everton LFC,35,14.52,5.61,2.86
19735,Manchester City WFC,40,12.14,4.1,4.87
19735,West Ham United LFC,38,11.99,4.17,4.62
19736,Chelsea FCW,35,17.3,4.38,3.99
19736,Arsenal WFC,40,13.27,4.59,3.07
19737,Yeovil Town LFC,33,15.4,4.55,3.52
19737,Liverpool WFC,51,16.95,5.31,3.41
19738,Bristol City WFC,33,16.71,4.26,3.98
19738,Birmingham City WFC,36,11.18,4.78,2.55
19739,Brighton & Hove Albion WFC,31,13.57,4.86,3.1
19739,Manchester City WFC,32,12.75,4.87,2.99
19740,West Ham United LFC,38,16.05,4.71,3.94
19740,Liverpool WFC,36,14.71,4.33,3.69
19741,Arsenal WFC,45,18.4,5.28,3.79
19741,Reading WFC,25,15.52,5.01,3.52
19742,Bristol City WFC,39,17.64,4.54,4.4
19742,Yeovil Town LFC,30,13.46,3.8,3.69
19743,Chelsea FCW,31,15.56,4.53,3.61
19743,Birmingham City WFC,30,11.42,5.04,2.61
19744,Arsenal WFC,39,12.47,5.21,3.58
19744,Bristol City WFC,34,12.79,4.54,3.05
19745,Brighton & Hove Albion WFC,32,16.63,5.23,3.88
19745,Yeovil Town LFC,31,12.69,4.18,3.33
19746,West Ham United LFC,27,14.78,4.1,4.76
19746,Everton LFC,38,14.42,5.23,3.09
19747,Manchester City WFC,42,15.24,4.54,3.66
19747,Reading WFC,38,12.84,4.27,3.43
19748,Chelsea FCW,29,16.89,4.88,3.83
19748,Liverpool WFC,35,13.95,4.21,3.14
19749,Arsenal WFC,32,14.28,4.57,4.17
19749,Birmingham City WFC,34,17.58,4.96,3.41
19750,Yeovil Town LFC,20,17.47,4.6,4.11
19750,Everton LFC,36,17.07,5.09,3.62
19751,Chelsea FCW,29,18.21,5.12,3.63
19751,West Ham United LFC,22,15.12,4.25,3.51
19752,Liverpool WFC,39,14.93,4.05,4.6
19752,Manchester City WFC,36,17.84,5.22,3.65
19753,Bristol City WFC,40,19.15,4.94,3.97
19753,Reading WFC,30,16.1,4.68,3.81
19754,Liverpool WFC,33,13.34,4.24,3.38
19754,Arsenal WFC,30,15.92,5.33,3.32
19755,Manchester City WFC,34,14.18,4.03,3.64
19755,Chelsea FCW,41,13.82,5.06,3.01
19756,Everton LFC,23,13.62,3.82,4.57
19756,Birmingham City WFC,27,12.44,4.51,3.81
19757,Bristol City WFC,37,15.18,4.34,3.86
19757,Brighton & Hove Albion WFC,49,17.29,4.85,3.66
19758,Yeovil Town LFC,38,15.97,4.92,3.67
19758,Reading WFC,32,15.15,4.95,3.16
19759,Everton LFC,38,15.61,3.94,3.93
19759,Arsenal WFC,39,14.25,4.8,3.37
19760,Chelsea FCW,40,18.53,5.39,3.52
19760,Yeovil Town LFC,19,13.78,4.48,3.47
19761,Bristol City WFC,29,16.02,4.95,3.76
19761,Liverpool WFC,33,12.76,4.76,2.98
19762,Brighton & Hove Albion WFC,35,14.85,4.78,3.28
19762,Reading WFC,34,11.36,4.51,2.85
19763,West Ham United LFC,33,15.0,4.72,3.86
19763,Birmingham City WFC,30,15.64,4.91,3.58
19764,Manchester City WFC,38,19.18,5.27,3.77
19764,Yeovil Town LFC,29,12.62,4.68,2.86
19765,Liverpool WFC,33,14.61,4.33,3.79
19765,Birmingham City WFC,34,14.98,5.54,3.1
19766,Brighton & Hove Albion WFC,36,15.56,5.03,3.61
19766,Arsenal WFC,39,14.62,5.19,3.13
19767,Everton LFC,33,14.44,4.01,4.35
19767,Reading WFC,41,16.7,4.78,3.78
19768,West Ham United LFC,31,12.99,3.51,4.53
19768,Bristol City WFC,41,12.69,4.3,3.08
19769,West Ham United LFC,20,16.32,4.84,3.48
19769,Brighton & Hove Albion WFC,36,12.39,4.43,3.03
19770,Arsenal WFC,51,14.23,4.6,4.26
19770,Manchester City WFC,30,14.92,4.29,3.53
19771,Yeovil Town LFC,25,13.84,4.39,3.44
19771,Birmingham City WFC,35,14.71,4.75,3.17
19772,Reading WFC,30,15.62,4.22,3.84
19772,Chelsea FCW,37,17.71,5.3,3.58
19773,Everton LFC,37,17.26,4.61,3.96
19773,Liverpool WFC,49,18.19,4.73,3.78
19774,Everton LFC,37,15.12,4.72,3.38
19774,Bristol City WFC,37,14.26,4.88,3.05
19775,Reading WFC,40,20.5,5.07,4.15
19775,Liverpool WFC,40,16.36,4.56,3.66
19776,Brighton & Hove Albion WFC,30,15.68,4.4,4.04
19776,Chelsea FCW,29,14.66,5.46,3.06
19777,West Ham United LFC,37,15.87,4.4,3.7
19777,Yeovil Town LFC,35,15.18,4.76,3.37
19778,Birmingham City WFC,34,15.41,5.28,3.15
19778,Manchester City WFC,30,12.66,4.93,2.96
19779,Manchester City WFC,30,16.24,5.61,3.3
19779,Bristol City WFC,23,9.69,4.29,2.73
19780,Brighton & Hove Albion WFC,42,19.1,4.58,4.39
19780,Liverpool WFC,34,13.23,3.93,3.75
19781,Arsenal WFC,28,14.67,4.84,3.91
19781,West Ham United LFC,24,10.6,5.2,2.11
19782,Birmingham City WFC,32,14.93,4.86,4.41
19782,Reading WFC,34,16.78,4.79,3.83
19783,Chelsea FCW,30,15.89,4.96,3.59
19783,Everton LFC,35,14.86,4.71,3.42
19784,Brighton & Hove Albion WFC,42,16.99,4.66,3.57
19784,Everton LFC,41,13.52,4.32,3.56
19785,Chelsea FCW,27,14.93,4.29,3.84
19785,Arsenal WFC,30,11.56,4.75,2.59
19786,Manchester City WFC,22,13.67,4.62,4.06
19786,West Ham United LFC,30,11.71,4.89,2.87
