match_id,team,possession_pct,passes,total_passes,field_tilt_pct,tilt_differential,territorial_control,pass_efficiency_pct,verticality,final_third_passes,possession_quality_gap,gap_interpretation,possession_style
7584,Japan,42.51,457,1075.0,20.44,-9.76,Under Pressure,19.47,Patient,89,1.63,Balanced,Contested
7585,England,52.11,605,1161.0,23.81,5.5,Contested,21.98,Patient,133,4.49,Balanced,Contested
7585,Colombia,47.89,556,1161.0,18.31,-5.5,Contested,16.91,Horizontal,94,11.27,Patient Build-up,Defensive
7586,Switzerland,66.92,615,919.0,26.64,0.04,Contested,26.99,Balanced,166,13.64,Patient Build-up,Contested
7586,Sweden,33.08,304,919.0,26.6,-0.04,Contested,25.99,Balanced,79,-20.12,Ultra-Efficient,Contested
8649,France,61.7,567,919.0,28.97,-4.47,Contested,27.87,Balanced,158,3.76,Balanced,Contested
8649,Uruguay,38.3,352,919.0,33.44,4.47,Contested,33.24,Vertical,117,-28.58,Ultra-Efficient,Efficiency Experts (Elite)
8650,Brazil,58.02,532,917.0,39.87,19.73,Total Dominance,38.16,Ultra-Vertical,203,-21.72,Ultra-Efficient,The Steamroller
8650,Belgium,41.98,385,917.0,20.14,-19.73,Pinned Back,20.26,Patient,78,1.7,Balanced,Contested
8651,England,58.46,563,963.0,32.02,14.48,Strong Control,30.73,Vertical,173,-5.58,Direct & Efficient,The Steamroller
8651,Sweden,41.54,400,963.0,17.54,-14.48,Under Pressure,17.75,Horizontal,71,6.46,Patient Build-up,Counter-Punchers
8652,Croatia,64.9,771,1188.0,25.36,-1.86,Contested,24.9,Balanced,192,14.18,Patient Build-up,Contested
8652,Russia,35.1,417,1188.0,27.22,1.86,Contested,25.9,Balanced,108,-19.34,Ultra-Efficient,Contested
8655,Belgium,62.93,623,990.0,27.58,-0.16,Contested,26.16,Balanced,163,7.77,Patient Build-up,Contested
8655,France,37.07,367,990.0,27.74,0.16,Contested,25.89,Balanced,95,-18.41,Ultra-Efficient,Contested
8656,Croatia,54.99,656,1193.0,30.39,7.06,Contested,29.12,Vertical,191,-5.79,Direct & Efficient,Attacking
8656,England,45.01,537,1193.0,23.33,-7.06,Contested,21.79,Patient,117,-1.65,Balanced,Contested
8657,England,57.85,685,1184.0,30.95,2.95,Contested,31.39,Vertical,215,-4.05,Balanced,The Steamroller
8657,Belgium,42.15,499,1184.0,28.0,-2.95,Contested,29.06,Vertical,145,-13.85,Direct & Efficient,Contested
8658,Croatia,65.48,554,846.0,26.38,9.4,Strong Control,26.35,Balanced,146,12.72,Patient Build-up,Contested
8658,France,34.52,292,846.0,16.98,-9.4,Under Pressure,14.38,Horizontal,42,0.56,Balanced,Counter-Punchers
9575,Barcelona,60.35,685,1135.0,28.31,12.59,Strong Control,28.18,Vertical,193,3.73,Balanced,Contested
9575,Real Betis,39.65,450,1135.0,15.72,-12.59,Under Pressure,15.11,Horizontal,68,8.21,Patient Build-up,Counter-Punchers
9581,Barcelona,72.96,785,1076.0,40.29,28.01,Total Dominance,37.58,Ultra-Vertical,295,-7.62,Direct & Efficient,The Steamroller
9581,Deportivo Alavés,27.04,291,1076.0,12.28,-28.01,Pinned Back,7.9,Horizontal,23,2.48,Balanced,Counter-Punchers
9592,Barcelona,75.17,766,1019.0,19.58,-10.4,Under Pressure,20.5,Patient,157,36.01,Sterile Possession,The U-Shape (Sterile)
9592,Espanyol,24.83,253,1019.0,29.98,10.4,Strong Control,29.25,Vertical,74,-35.13,Ultra-Efficient,Contested
9602,Barcelona,69.65,709,1018.0,28.0,1.15,Contested,24.96,Balanced,177,13.65,Patient Build-up,Contested
9602,Getafe,30.35,309,1018.0,26.85,-1.15,Contested,23.62,Balanced,73,-23.35,Ultra-Efficient,Contested
9609,Barcelona,60.11,639,1063.0,18.3,-7.4,Contested,15.96,Horizontal,102,23.51,Sterile Possession,The U-Shape (Sterile)
9609,Eibar,39.89,424,1063.0,25.7,7.4,Contested,24.06,Balanced,102,-11.51,Direct & Efficient,Contested
9620,Barcelona,60.39,593,982.0,14.88,-6.05,Contested,14.33,Horizontal,85,30.63,Sterile Possession,The U-Shape (Sterile)
9620,Girona,39.61,389,982.0,20.93,6.05,Contested,18.77,Patient,73,-2.25,Balanced,Contested
9636,Las Palmas,52.22,588,1126.0,18.59,-13.83,Under Pressure,17.52,Horizontal,103,15.04,Sterile Possession,Defensive
9636,Barcelona,47.78,538,1126.0,32.42,13.83,Strong Control,28.44,Vertical,153,-17.06,Ultra-Efficient,Attacking
9642,Barcelona,68.05,773,1136.0,41.87,22.41,Total Dominance,40.23,Ultra-Vertical,311,-15.69,Ultra-Efficient,The Steamroller
9642,Atlético Madrid,31.95,363,1136.0,19.46,-22.41,Pinned Back,19.01,Patient,69,-6.97,Direct & Efficient,Counter-Punchers
